step,time_s,event,com_z_m,height_error_m
309,3.09,BELOW_TARGET_MINUS_1CM,0.28998127579689026,-0.01001872420310973
310,3.1,BELOW_TARGET_MINUS_1CM,0.28993701934814453,-0.010062980651855458
311,3.11,BELOW_TARGET_MINUS_1CM,0.28989341855049133,-0.010106581449508656
312,3.12,BELOW_TARGET_MINUS_1CM,0.28985053300857544,-0.01014946699142455
313,3.13,BELOW_TARGET_MINUS_1CM,0.28980839252471924,-0.01019160747528075
314,3.14,BELOW_TARGET_MINUS_1CM,0.2897670865058899,-0.010232913494110096
315,3.15,BELOW_TARGET_MINUS_1CM,0.289726585149765,-0.010273414850234974
316,3.16,BELOW_TARGET_MINUS_1CM,0.28968697786331177,-0.010313022136688221
317,3.17,BELOW_TARGET_MINUS_1CM,0.28964829444885254,-0.01035170555114745
318,3.18,BELOW_TARGET_MINUS_1CM,0.2896105945110321,-0.010389405488967884
319,3.19,BELOW_TARGET_MINUS_1CM,0.28957387804985046,-0.010426121950149525
320,3.2,BELOW_TARGET_MINUS_1CM,0.2895382046699524,-0.010461795330047596
321,3.21,BELOW_TARGET_MINUS_1CM,0.2895035743713379,-0.010496425628662098
322,3.22,BELOW_TARGET_MINUS_1CM,0.2894701063632965,-0.01052989363670348
323,3.23,BELOW_TARGET_MINUS_1CM,0.28943774104118347,-0.010562258958816517
324,3.24,BELOW_TARGET_MINUS_1CM,0.28940656781196594,-0.010593432188034047
325,3.25,BELOW_TARGET_MINUS_1CM,0.2893766164779663,-0.01062338352203368
326,3.2600000000000002,BELOW_TARGET_MINUS_1CM,0.28934791684150696,-0.010652083158493031
327,3.27,BELOW_TARGET_MINUS_1CM,0.2893204689025879,-0.010679531097412098
328,3.2800000000000002,BELOW_TARGET_MINUS_1CM,0.2892943322658539,-0.010705667734146107
329,3.29,BELOW_TARGET_MINUS_1CM,0.28926950693130493,-0.010730493068695057
330,3.3000000000000003,BELOW_TARGET_MINUS_1CM,0.2892460227012634,-0.010753977298736561
331,3.31,BELOW_TARGET_MINUS_1CM,0.28922390937805176,-0.010776090621948231
