posture_name,target_height,hip_roll_L,hip_roll_R,hip_yaw_L,hip_yaw_R,hip_pitch_L,hip_pitch_R,knee_L,knee_R,torso_height,torso_pitch,torso_roll,CoM_x,CoM_y,CoM_z,wheel_contact_x,wheel_contact_y,wheel_contact_z,left_wheel_site_height,right_wheel_site_height,left_wheel_contact_height,right_wheel_contact_height,left_wheel_contact_force,right_wheel_contact_force,left_wheel_body_z,right_wheel_body_z,CoM_lateral_offset_x,knee_forward_margin_L,knee_forward_margin_R,left_right_joint_symmetry_abs_max,wheel_contact_height_diff,both_wheels_touch_ground_correctly,knees_bend_forward,torso_near_upright,left_right_symmetric,visual_interpretation
h_0.65,0.65,0.0,0.0,0.0,0.0,0.178181629835088,0.178181629835088,0.5198583101790746,0.5198583101790746,0.7092464907302443,-0.0,0.0,-5.851252557026352e-07,0.016612674643840662,0.5439390433392066,-3.049465274712615e-06,0.05306201035082178,2.459286615890885e-05,0.021387808231258285,0.08040749876115019,-4.85722573273506e-17,4.918573231786627e-05,22.412234546191122,nan,0.060000343234498876,0.06004903195564909,2.4643400190099796e-06,0.04608329331137009,0.0460803653117959,0.0,4.918573231791484e-05,True,True,True,True,Human-like symmetric upright/crouch posture with forward knees and both wheel contacts grounded.
h_0.60,0.6,0.0,0.0,0.0,0.0,0.48395825016511584,0.48395825016511584,0.9416507982785107,0.9416507982785107,0.6708707686593158,-0.0,0.0,-3.6649530784679295e-07,0.0018427436844775328,0.5134607290022393,-1.9004421699803098e-06,0.00909842274647801,2.4219815493307234e-05,0.01633125038961035,0.0868032785615768,-4.163336342344337e-17,4.84396309866561e-05,15.79427929469808,nan,0.06000026282246662,0.06004835004676479,1.5339468621335167e-06,0.12097522559323304,0.12097259215376462,0.0,4.8439630986697735e-05,True,True,True,True,Human-like symmetric upright/crouch posture with forward knees and both wheel contacts grounded.
h_0.55,0.55,0.0,0.0,0.0,0.0,0.719567062725897,0.719567062725897,1.30643695574579,1.30643695574579,0.6182416826910189,-0.0,0.0,-2.0167606692894774e-07,-0.006713607319731446,0.4715754290361575,-1.1319771165280157e-06,-0.00891963611215862,2.4036012182145766e-05,0.011394638756327083,0.09349815897119648,-1.249000902703301e-16,4.807202436441643e-05,12.405457576376675,nan,0.060000208728251014,0.060048019551458026,9.30301049599068e-07,0.1713559983629067,0.17135376081934178,0.0,4.807202436454133e-05,True,True,True,True,Human-like symmetric upright/crouch posture with forward knees and both wheel contacts grounded.
h_0.50,0.5,0.0,0.0,0.0,0.0,0.8850080675174343,0.8850080675174343,1.6142167825809128,1.6142167825809128,0.562998249371762,-0.0,0.0,-9.751347633903718e-08,-0.010192833792992321,0.42694056243246803,-7.279962903616877e-07,-0.006276377082794566,2.400458299216257e-05,0.006895840456894731,0.10022588172393626,-1.3877787807814457e-17,4.800916598433902e-05,10.591272783987975,nan,0.06000017666331384,0.06004797168486897,6.304828140226505e-07,0.20121975189662883,0.20121786781989112,0.0,4.80091659843529e-05,True,True,True,True,Human-like symmetric upright/crouch posture with forward knees and both wheel contacts grounded.
h_0.45,0.45,0.0,0.0,0.0,0.0,0.9802812645397263,0.9802812645397263,1.8649902787838784,1.8649902787838784,0.5116973397870306,-0.0,0.0,-4.5709444421805346e-08,-0.010123370552611893,0.3844067122407691,-5.939995770115614e-07,0.009959559413925338,2.407608633879857e-05,0.003211361935898223,0.10664269357961965,1.3877787807814457e-17,4.815217267758326e-05,9.395104226445794,nan,0.060000160825318616,0.060048114235790345,5.48290132589756e-07,0.21597050541011403,0.2159688489124628,0.0,4.815217267756938e-05,True,True,True,True,Human-like symmetric upright/crouch posture with forward knees and both wheel contacts grounded.
h_0.40,0.4,0.0,0.0,0.0,0.0,1.0053866537927734,1.0053866537927734,2.0587574443546877,2.0587574443546877,0.46734664906142886,-0.0,0.0,-3.396980722905652e-08,-0.007714808175629176,0.3461897238183191,-6.224922893399709e-07,0.03382047247735083,2.4209784865975026e-05,0.0007663765671928266,0.11232725165326188,1.0408340855860843e-16,4.841956973184597e-05,8.393348702544273,nan,0.0600001569965547,0.06004837101389213,5.885224821109144e-07,0.2195364336281614,0.21953483968862156,0.0,4.8419569731741885e-05,True,True,True,True,Human-like symmetric upright/crouch posture with forward knees and both wheel contacts grounded.
