case_name,stage,row_count,final_source_step_index,hip_yaw_abs_max_max,hip_yaw_abs_max_final,hip_yaw_abs_max_mean,l_hip_yaw_error_max,r_hip_yaw_error_max,l_hip_yaw_error_final,r_hip_yaw_error_final,pitch_x_rad_max_abs,pitch_x_rad_final,pitch_x_rad_rms,roll_y_rad_max_abs,roll_y_rad_final,roll_y_rad_rms,yaw_z_rad_max_abs,yaw_z_rad_final,support_position_error_m_max_abs,support_position_error_m_final,support_position_error_m_rms,non_wheel_floor_contacts_max,tau_position_raw_max_abs,tau_position_clipped_max_abs,tau_pitch_max_abs,wbc_applied,wbc_contribution_max,ownership_violation_count_max,hidden_torque_norm_max
low_0p300,step_e,1000,999,0.1853405386209488,0.1853405386209488,0.09934313898498656,0.1815474182367324,0.1853405386209488,0.1815474182367324,-0.1853405386209488,0.1110456019856699,0.0287153041577975,0.05876914498462308,0.0134003783394683,0.0033845864187052,0.00765728775981926,0.0107135957621829,4.569897417280937e-05,0.1756172759219904,0.039169322337457,0.08600594032570838,0,7.024691036879618,4.0,5.552280099283495,False,0.0,0,0.0
low_0p300,step_c,1000,999,0.1853424459695816,0.1853424459695816,0.09934648670500609,0.1815496385097503,0.1853424459695816,0.1815496385097503,-0.1853424459695816,0.1110455917387231,0.028723998790722,0.058771464597437796,0.0134004364583244,0.003384431534773,0.007656987565313005,0.0107135971825815,4.626939959571361e-05,0.1756175884699543,0.0391799040724575,0.08600968821648004,0,7.024703538798171,4.0,5.55227958693616,False,0.0,0,0.0
high_0p480,step_e,1093,1092,0.0431915335357189,0.0071609439328312,0.013471539167551767,0.0431915335357189,0.0421105846762657,0.0056418399326503,-0.0071609439328312,0.0704758628118779,0.0699418559277623,0.054551173706052884,0.0050467818629703,0.0043408725466557,0.002880294406466582,0.0126391339017896,0.0037521753794243,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0,0.0
high_0p480,step_c,5000,4999,0.0551423281431198,0.0143988858908414,0.016084260083921203,0.0551423281431198,0.0534375384449958,0.0136825423687696,-0.0143988858908414,0.0726285373425916,0.0710127954409322,0.06817465687804077,0.0050467818629703,0.0034085671461848,0.002763910312157277,0.0598800469082416,-0.0598800469082416,0.0,0.0,0.0,0,0.0,0.0,0.0,False,0.0,0,0.0
