case_name,stage,row_index,source_step_index,time_s,failure_reasons,l_hip_yaw_pos,r_hip_yaw_pos,sagittal_position_error_m,control_pitch_x,control_roll_y
low_0p300,step_e,77,77,0.77,pitch=0.1002,-0.0044704843312501,0.006263427902013,0.1266848756036024,0.1002079581376842,0.0042905807667014
low_0p300,step_e,78,78,0.78,pitch=0.1013,-0.0044435211457312,0.0063192779198288,0.1286830036485274,0.1013176955285253,0.004326064156841
low_0p300,step_e,79,79,0.79,pitch=0.1024,-0.0044150217436254,0.0063741304911673,0.1306374543169526,0.1023558079960439,0.0043633084310653
low_0p300,step_e,80,80,0.8,pitch=0.1033,-0.0043850038200616,0.0064279963262379,0.1325481439704005,0.1033247947147275,0.0044022444895522
low_0p300,step_e,81,81,0.81,pitch=0.1042,-0.0043535092845559,0.0064809126779437,0.1344146407891316,0.104226050995605,0.004442809065119
low_0p300,step_e,82,82,0.8200000000000001,pitch=0.1051,-0.004320538137108,0.0065328814089298,0.1362368676937648,0.1050616077466767,0.004484938829171
low_0p300,step_e,83,83,0.8300000000000001,pitch=0.1058,-0.0042861052788794,0.0065839192830026,0.1380148255623787,0.105833710689741,0.0045285760269131
low_0p300,step_e,84,84,0.84,pitch=0.1065,-0.0042502479627728,0.0066340654157102,0.1397483497368864,0.1065440797685613,0.0045736665700498
low_0p300,step_e,85,85,0.85,pitch=0.1072,-0.0042129843495786,0.0066833500750362,0.1414373869697814,0.1071945275155478,0.0046201555566902
low_0p300,step_e,86,86,0.86,pitch=0.1078,-0.004171619657427,0.0067288968712091,0.1430816759452056,0.1077856736839828,0.0046692828649507
low_0p300,step_e,87,87,0.87,pitch=0.1083,-0.0041329744271934,0.0067506371997296,0.1446801985810219,0.1083168446415851,0.0047269856378037
low_0p300,step_e,88,88,0.88,pitch=0.1088,-0.0041224430315196,0.0067482376471161,0.1462345495645275,0.1087973960061482,0.0047854721777868
low_0p300,step_e,89,89,0.89,pitch=0.1092,-0.0041316272690892,0.0067308545112609,0.1477448436000162,0.1092286725397144,0.0048371465251487
low_0p300,step_e,90,90,0.9,pitch=0.1096,-0.0041538346558809,0.006706983782351,0.1492096723257889,0.1096086873488369,0.0048785145242629
low_0p300,step_e,91,91,0.91,support=0.1506; pitch=0.1099,-0.0041833999566733,0.0066838534548878,0.1506296104280253,0.1099398085609103,0.004908399722324
low_0p300,step_e,92,92,0.92,support=0.1520; pitch=0.1102,-0.0042156549170613,0.0066673583351075,0.1520054106635998,0.1102255770288491,0.0049273771985662
low_0p300,step_e,93,93,0.93,support=0.1533; pitch=0.1105,-0.004258660133928,0.0066685052588582,0.1533369597720688,0.1104684836601952,0.0049335879425797
low_0p300,step_e,94,94,0.9400000000000001,support=0.1546; pitch=0.1107,-0.0042970268987119,0.0066991229541599,0.1546242480983498,0.1106666408587977,0.0049285483791223
low_0p300,step_e,95,95,0.9500000000000001,support=0.1559; pitch=0.1108,-0.0043258448131382,0.0067474716342985,0.1558671398920025,0.1108200546028981,0.0049218986946468
low_0p300,step_e,96,96,0.96,support=0.1571; pitch=0.1109,-0.0043507767841219,0.0068058772012591,0.1570674286391877,0.1109342771806165,0.0049176349954185
low_0p300,step_e,97,97,0.97,support=0.1582; pitch=0.1110,-0.0043732319027185,0.0068705934099853,0.1582250167670902,0.1110098759708532,0.004916961456445
low_0p300,step_e,98,98,0.98,support=0.1593; pitch=0.1110,-0.0043932613916695,0.0069395499303936,0.1593395699696612,0.1110456019856699,0.0049200519998791
low_0p300,step_e,99,99,0.99,support=0.1604; pitch=0.1110,-0.0044106552377343,0.0070113237015903,0.1604124216701904,0.11104449480483,0.0049268284144468
low_0p300,step_e,100,100,1.0,support=0.1614; pitch=0.1110,-0.0044254343956708,0.0070850984193384,0.1614441627111349,0.1110085243878206,0.0049371495536877
low_0p300,step_e,101,101,1.01,support=0.1624; pitch=0.1109,-0.0044377441518008,0.0071603669784963,0.1624348266186349,0.1109379993274339,0.004950866711093
low_0p300,step_e,102,102,1.02,support=0.1634; pitch=0.1108,-0.0044477093033492,0.0072367298416793,0.1633850743498631,0.1108346261031637,0.0049678290995637
low_0p300,step_e,103,103,1.03,support=0.1643; pitch=0.1107,-0.0044555221684277,0.0073139416053891,0.1642955029081422,0.1107002053530852,0.0049878920931794
low_0p300,step_e,104,104,1.04,support=0.1652; pitch=0.1105,-0.0044614127837121,0.0073918662965297,0.1651664078587721,0.1105357146030782,0.0050109202364344
low_0p300,step_e,105,105,1.05,support=0.1660; pitch=0.1103,-0.0044655762612819,0.0074703963473439,0.1659982808355835,0.1103424551975406,0.0050367812488207
low_0p300,step_e,106,106,1.06,support=0.1668; pitch=0.1101,-0.0044681993313133,0.0075494674965739,0.1667916718666268,0.1101219113190443,0.0050653471971585
low_0p300,step_e,107,107,1.07,support=0.1675; pitch=0.1099,-0.0044694738462567,0.0076290536671876,0.1675470153314211,0.1098752428401123,0.0050965001686377
low_0p300,step_e,108,108,1.08,support=0.1683; pitch=0.1096,-0.0044695641845464,0.0077091418206691,0.1682647920430667,0.1096036216508485,0.0051301256056602
low_0p300,step_e,109,109,1.09,support=0.1689; pitch=0.1093,-0.0044686147011816,0.0077897342853248,0.1689455282482707,0.1093083008828409,0.0051661110669228
low_0p300,step_e,110,110,1.1,support=0.1696; pitch=0.1090,-0.0044667641632258,0.0078708454966545,0.1695897281405559,0.1089904384397321,0.0052043522440791
low_0p300,step_e,111,111,1.11,support=0.1702; pitch=0.1087,-0.0044641378335654,0.0079524982720613,0.1701978958991614,0.1086511345517021,0.00524474958382
low_0p300,step_e,112,112,1.12,support=0.1708; pitch=0.1083,-0.0044608442112803,0.008034722879529,0.1707705549665674,0.1082914859385046,0.0052872047087781
low_0p300,step_e,113,113,1.1300000000000001,support=0.1713; pitch=0.1079,-0.0044569848105311,0.0081175519153475,0.1713082387197909,0.1079125766927868,0.0053316269236874
low_0p300,step_e,114,114,1.1400000000000001,support=0.1718; pitch=0.1075,-0.0044526541605591,0.00820102263242,0.1718114852907971,0.1075154627,0.0053779299741086
low_0p300,step_e,115,115,1.1500000000000001,support=0.1723; pitch=0.1071,-0.0044479379430413,0.0082851788029074,0.1722808239224768,0.1071011350173889,0.0054260283009502
low_0p300,step_e,116,116,1.16,support=0.1727; pitch=0.1067,-0.0044429167173802,0.0083700660616159,0.1727167875696217,0.1066705531432941,0.0054758416035731
low_0p300,step_e,117,117,1.17,support=0.1731; pitch=0.1062,-0.0044376654550433,0.0084557319059968,0.1731199258566784,0.1062246832852281,0.0055272936749995
low_0p300,step_e,118,118,1.18,support=0.1735; pitch=0.1058,-0.0044322558678686,0.0085422238335013,0.173490790170452,0.1057644688472514,0.0055803117177376
low_0p300,step_e,119,119,1.19,support=0.1738; pitch=0.1053,-0.0044267550110816,0.0086295939981937,0.1738299272308039,0.1052908084052447,0.0056348250476425
low_0p300,step_e,120,120,1.2,support=0.1741; pitch=0.1048,-0.0044212313368916,0.008717899210751,0.1741378755022629,0.1048045457175613,0.0056907661143718
low_0p300,step_e,121,121,1.21,support=0.1744; pitch=0.1043,-0.0044157486408948,0.0088071916252374,0.174415181300681,0.1043065222153506,0.0057480713395501
low_0p300,step_e,122,122,1.22,support=0.1747; pitch=0.1038,-0.0044103669933974,0.00889752805233,0.1746624078163723,0.1037975923253489,0.0058066776160238
low_0p300,step_e,123,123,1.23,support=0.1749; pitch=0.1033,-0.0044051511213183,0.0089889653027057,0.1748800921302005,0.1032785306724338,0.0058665268490325
low_0p300,step_e,124,124,1.24,support=0.1751; pitch=0.1028,-0.0044001643545925,0.0090815601870417,0.1750687757244475,0.1027500914145644,0.0059275649289064
low_0p300,step_e,125,125,1.25,support=0.1752; pitch=0.1022,-0.004395464900881,0.0091753685846924,0.1752290151585412,0.1022130464867566,0.0059897373496527
low_0p300,step_e,126,126,1.26,support=0.1754; pitch=0.1017,-0.004391114693135,0.0092704538255929,0.1753613427840687,0.1016680990259478,0.0060529914720623
low_0p300,step_e,127,127,1.27,support=0.1755; pitch=0.1011,-0.0043871747329831,0.0093668745830655,0.1754662945637773,0.1011159315530957,0.0061172778871657
low_0p300,step_e,128,128,1.28,support=0.1755; pitch=0.1006,-0.0043829856440424,0.0094608683139085,0.1755437883782705,0.1005556026928108,0.0061840298107997
low_0p300,step_e,129,129,1.29,support=0.1756,-0.0043848589994013,0.0095408363267779,0.1755936652937315,0.0999861257893452,0.00625646198743
low_0p300,step_e,130,130,1.3,support=0.1756,-0.0044062198139727,0.0096039557829499,0.1756172759219904,0.0994129187095952,0.0063305426712534
low_0p300,step_e,131,131,1.31,support=0.1756,-0.004447067156434,0.0096567422151565,0.1756166712043798,0.0988411365435819,0.0064007454135031
low_0p300,step_e,132,132,1.32,support=0.1756,-0.0044995215721428,0.009707037359476,0.1755897811978193,0.0982648030400755,0.0064645597524614
low_0p300,step_e,133,133,1.33,support=0.1755,-0.0045638256706297,0.0097650084644556,0.1755374489379021,0.0976847166426719,0.0065190906069145
low_0p300,step_e,134,134,1.34,support=0.1755,-0.0046300087124109,0.0098463892936706,0.1754624501641351,0.0971051749648808,0.0065622648154773
low_0p300,step_e,135,135,1.35,support=0.1754,-0.0046834796667099,0.0099451392889022,0.1753629801736238,0.096519401829951,0.0066018907992843
low_0p300,step_e,136,136,1.36,support=0.1752,-0.0047309570945799,0.0100540732964873,0.1752408577275948,0.0959315788967674,0.0066421659788347
low_0p300,step_e,137,137,1.37,support=0.1751,-0.0047750025987625,0.0101695749908685,0.1750973483062139,0.0953447945321963,0.0066844171159758
low_0p300,step_e,138,138,1.3800000000000001,support=0.1749,-0.0048166294582188,0.0102900555357337,0.1749315399050941,0.0947558602596983,0.0067288632166503
low_0p300,step_e,139,139,1.3900000000000001,support=0.1747,-0.0048561347648501,0.0104143703356385,0.1747443812832206,0.0941654290102057,0.006775424241698
low_0p300,step_e,140,140,1.4000000000000001,support=0.1745,-0.0048937904648482,0.0105418171733617,0.1745370378491408,0.0935756201002553,0.006823956025006
low_0p300,step_e,141,141,1.41,support=0.1743,-0.0049300407990813,0.0106721026822924,0.1743095428321021,0.0929858808013448,0.0068743196984371
low_0p300,step_e,142,142,1.42,support=0.1741,-0.0049652415327727,0.0108049819245934,0.1740623268366552,0.0923962659153761,0.0069263866699284
low_0p300,step_e,143,143,1.43,support=0.1738,-0.0049997000023722,0.0109402686357498,0.1737961509224789,0.0918078823590506,0.0069800381445789
low_0p300,step_e,144,144,1.44,support=0.1735,-0.0050337710417807,0.0110779078677296,0.1735113564970947,0.0912209412022585,0.0070351692922082
low_0p300,step_e,145,145,1.45,support=0.1732,-0.0050677685067057,0.011217868886888,0.1732082901122244,0.0906355111132538,0.0070916840396029
low_0p300,step_e,146,146,1.46,support=0.1729,-0.0051019452512264,0.0113601135089993,0.1728874987843929,0.0900521800479063,0.0071494951425977
low_0p300,step_e,147,147,1.47,support=0.1725,-0.0051365499384701,0.0115046491846442,0.1725493968811804,0.0894712936334667,0.0072085196362291
low_0p300,step_e,148,148,1.48,support=0.1722,-0.0051718079484999,0.0116514945402741,0.172194340425097,0.0888930038998798,0.0072686840072997
low_0p300,step_e,149,149,1.49,support=0.1718,-0.0052079036831855,0.01180066075176,0.1718227811728951,0.0883176802954309,0.0073299188817113
low_0p300,step_e,150,150,1.5,support=0.1714,-0.0052450061775743,0.0119521738961339,0.1714351258618025,0.0877456258802778,0.0073921576875437
low_0p300,step_e,151,151,1.51,support=0.1710,-0.0052832686342298,0.012106068432331,0.1710317380078269,0.0871770277492579,0.0074553385404299
low_0p300,step_e,152,152,1.52,support=0.1706,-0.0053228223696351,0.0122623713687062,0.1706130164957209,0.0866121464260822,0.0075194035931942
low_0p300,step_e,153,153,1.53,support=0.1702,-0.0053637847304344,0.0124211153015494,0.1701793477702287,0.0860512357990563,0.0075842979967787
low_0p300,step_e,154,154,1.54,support=0.1697,-0.0054062656126916,0.0125823384150862,0.1697310860154065,0.0854944714457029,0.0076499696433909
low_0p300,step_e,155,155,1.55,support=0.1693,-0.0054503623396158,0.0127460770308971,0.1692685822659642,0.0849420153558467,0.007716369630647
low_0p300,step_e,156,156,1.56,support=0.1688,-0.0054961605928838,0.0129123628139495,0.1687922042243149,0.0843940886206014,0.0077834522650638
low_0p300,step_e,157,157,1.57,support=0.1683,-0.0055437381379306,0.013081232085824,0.1683023087058609,0.08385089182351,0.0078511725354436
low_0p300,step_e,158,158,1.58,support=0.1678,-0.0055931746028363,0.0132527286186814,0.1677992009249614,0.0833125093799269,0.0079194866120664
low_0p300,step_e,159,159,1.59,support=0.1673,-0.0056445375084877,0.0134268887341022,0.1672832123687552,0.0827790846222368,0.0079883541256775
low_0p300,step_e,160,160,1.6,support=0.1668,-0.0056978855282068,0.0136037459596991,0.1667546920502105,0.0822508267719474,0.0080577343706458
low_0p300,step_e,161,161,1.61,support=0.1662,-0.0057532894425094,0.0137833440676331,0.1662139246771072,0.0817277989730911,0.0081275910493718
low_0p300,step_e,162,162,1.62,support=0.1657,-0.0058108074590563,0.0139657231047749,0.1656611977634849,0.0812100704939248,0.0081978868960121
