case_name,stage,row_index,source_step_index,time_s,failure_reasons,l_hip_yaw_pos,r_hip_yaw_pos,sagittal_position_error_m,control_pitch_x,control_roll_y
low_0p300,step_c,77,77,0.77,pitch=0.1002,-0.0044704820029437,0.0062634265050292,0.1266848992015075,0.1002079522372148,0.0042905845553563
low_0p300,step_c,78,78,0.78,pitch=0.1013,-0.0044435188174247,0.0063192760571837,0.1286830311354644,0.1013176905149982,0.0043260682853504
low_0p300,step_c,79,79,0.79,pitch=0.1024,-0.0044150189496576,0.0063741281628608,0.1306374856334758,0.1023558033105437,0.0043633128295183
low_0p300,step_c,80,80,0.8,pitch=0.1033,-0.0043850010260939,0.0064279944635927,0.1325481765150304,0.1033247822757196,0.0044022491491807
low_0p300,step_c,81,81,0.81,pitch=0.1042,-0.0043535060249269,0.0064809098839759,0.1344146769138953,0.1042260374421299,0.0044428139645657
low_0p300,step_c,82,82,0.8200000000000001,pitch=0.1051,-0.0043205334804952,0.0065328781493008,0.1362369146762058,0.1050616096755454,0.0044849439760772
low_0p300,step_c,83,83,0.8300000000000001,pitch=0.1058,-0.0042861015535891,0.0065839169546961,0.1380148726159339,0.1058337028108054,0.0045285813331096
low_0p300,step_c,84,84,0.84,pitch=0.1065,-0.0042502433061599,0.0066340621560812,0.1397483978671499,0.1065440623755794,0.0045736720280043
low_0p300,step_c,85,85,0.85,pitch=0.1072,-0.0042129787616431,0.0066833454184234,0.1414374492966166,0.1071945312900604,0.0046201612199611
low_0p300,step_c,86,86,0.86,pitch=0.1078,-0.0041716140694916,0.0067288926802575,0.1430817421716655,0.1077856774530305,0.0046692889494215
low_0p300,step_c,87,87,0.87,pitch=0.1083,-0.0041329697705805,0.0067506320774555,0.1446802635849128,0.1083168357719039,0.0047269922955412
low_0p300,step_c,88,88,0.88,pitch=0.1088,-0.0041224397718906,0.0067482301965355,0.146234615640406,0.1087973864675058,0.0047854793848466
low_0p300,step_c,89,89,0.89,pitch=0.1092,-0.0041316258721053,0.0067308451980352,0.1477449055128949,0.109228658261502,0.0048371538366498
low_0p300,step_c,90,90,0.9,pitch=0.1096,-0.004153833258897,0.0067069735378026,0.1492097312276479,0.1096086727258898,0.0048785199590583
low_0p300,step_c,91,91,0.91,support=0.1506; pitch=0.1099,-0.0041833990253508,0.0066838432103395,0.1506296675639359,0.1099397992725182,0.0049084028344625
low_0p300,step_c,92,92,0.92,support=0.1520; pitch=0.1102,-0.0042156549170613,0.0066673480905592,0.1520054637086478,0.1102255673094325,0.0049273785517845
low_0p300,step_c,93,93,0.93,support=0.1533; pitch=0.1105,-0.0042586610652506,0.0066684950143098,0.1533370119796184,0.110468480414476,0.0049335875864077
low_0p300,step_c,94,94,0.9400000000000001,support=0.1546; pitch=0.1107,-0.0042970282956957,0.0066991136409342,0.1546243011650807,0.1106666417980093,0.0049285462827267
low_0p300,step_c,95,95,0.9500000000000001,support=0.1559; pitch=0.1108,-0.0043258480727672,0.0067474627867341,0.1558671901831181,0.1108200491293691,0.0049218949445664
low_0p300,step_c,96,96,0.96,support=0.1571; pitch=0.1109,-0.0043507805094122,0.0068058692850172,0.1570674827432017,0.1109342749792044,0.0049176295827775
low_0p300,step_c,97,97,0.97,support=0.1582; pitch=0.1110,-0.0043732379563152,0.0068705864250659,0.1582250701769342,0.1110098681559461,0.0049169546180168
low_0p300,step_c,98,98,0.98,support=0.1593; pitch=0.1110,-0.0043932683765888,0.0069395434111356,0.1593396254231678,0.1110455917387231,0.0049200438472227
low_0p300,step_c,99,99,0.99,support=0.1604; pitch=0.1110,-0.0044106631539762,0.0070113176479935,0.1604124826950024,0.1110444907121991,0.0049268189296614
low_0p300,step_c,100,100,1.0,support=0.1614; pitch=0.1110,-0.0044254441745579,0.0070850932970643,0.1614442266043496,0.1110085197567862,0.0049371387702942
low_0p300,step_c,101,101,1.01,support=0.1624; pitch=0.1109,-0.0044377548620104,0.0071603627875447,0.1624348934440879,0.1109379923482795,0.0049508546503708
low_0p300,step_c,102,102,1.02,support=0.1634; pitch=0.1108,-0.0044477214105427,0.0072367256507277,0.1633851465176103,0.1108346218512928,0.0049678159318737
low_0p300,step_c,103,103,1.03,support=0.1643; pitch=0.1107,-0.0044555361382663,0.0073139383457601,0.1642955798167296,0.1107002038198609,0.0049878781047172
low_0p300,step_c,104,104,1.04,support=0.1652; pitch=0.1105,-0.0044614281505346,0.0073918639682233,0.1651664886136063,0.1105357096851729,0.0050109054411679
low_0p300,step_c,105,105,1.05,support=0.1660; pitch=0.1103,-0.004465592559427,0.0074703944846987,0.1659983670829403,0.1103424505422409,0.0050367651306072
