controller,height,survival_time_mean,survival_time_std,fall_rate_mean,pitch_RMS_deg_mean,pitch_RMS_deg_std,roll_RMS_deg_mean,roll_RMS_deg_std,height_RMSE_mean,height_RMSE_std,CoM_error_RMS_mean,CoM_error_RMS_std,wheel_speed_RMS_mean,wheel_speed_RMS_std,wheel_cmd_RMS_mean,wheel_cmd_RMS_std,action_saturation_rate_mean,action_saturation_rate_std,action_rate_RMS_mean,action_rate_RMS_std
height_ik_wheel_lqr_only_b8,0.4,0.4,0.0,1.0,19.910362243652344,0.0,0.6916216015815735,0.0,0.3907753825187683,0.0,0.19910362362861633,0.0,18.08301544189453,0.0,0.1544964611530304,0.0,0.0,0.0,0.017949575558304787,0.0
height_ik_wheel_lqr_only_b8,0.45,0.8400000000000001,0.0,1.0,26.89375877380371,0.0,1.6575627326965332,0.0,0.5387793183326721,0.0,0.2689375877380371,0.0,19.261802673339844,0.0,0.5882124304771423,0.0,0.0,0.0,0.025602782145142555,0.0
height_ik_wheel_lqr_only_b8,0.5,0.36,0.0,1.0,24.12843132019043,0.0,1.4010652303695679,0.0,0.42365562915802,0.0,0.2412843108177185,0.0,16.897802352905273,0.0,0.16515502333641052,0.0,0.0,0.0,0.020460473373532295,0.0
height_ik_wheel_lqr_only_b8,0.55,0.12,0.0,1.0,24.26114845275879,0.0,0.7305376529693604,0.0,0.44999998807907104,0.0,0.24261148273944855,0.0,15.288890838623047,0.0,0.10379143804311752,0.0,0.0,0.0,0.060216743499040604,0.0
height_ik_wheel_lqr_only_b8,0.6,0.1,0.0,1.0,22.60439109802246,0.0,0.9726395010948181,0.0,0.3999999761581421,0.0,0.2260439097881317,0.0,16.148923873901367,0.0,0.0562535859644413,0.0,0.04,0.0,0.0725836232304573,0.0
height_ik_wheel_lqr_only_b8,0.65,0.1,0.0,1.0,22.60508155822754,0.0,0.9726475477218628,0.0,0.3500000238418579,0.0,0.22605080902576447,0.0,16.150358200073242,0.0,0.0546625517308712,0.0,0.04,0.0,0.07243017852306366,0.0
height_ik_wheel_lqr_only_b8,0.7,0.1,0.0,1.0,22.605772018432617,0.0,0.9726556539535522,0.0,0.30000001192092896,0.0,0.22605770826339722,0.0,16.151792526245117,0.0,0.05210402235388756,0.0,0.04,0.0,0.07225307822227478,0.0
height_scheduled_dynamic_lqr_ik,0.4,17.18,0.0,1.0,26.891990661621094,0.0,2.2395377159118652,0.0,0.39993205666542053,0.0,0.2689199149608612,0.0,18.530488967895508,0.0,0.536151647567749,0.0,0.0,0.0,0.10461364686489105,0.0
height_scheduled_dynamic_lqr_ik,0.45,20.0,0.0,0.0,32.89170837402344,0.0,2.955038070678711,0.0,0.44907474517822266,0.0,0.32891708612442017,0.0,19.08930206298828,0.0,0.5951492190361023,0.0,0.0,0.0,0.1064993292093277,0.0
height_scheduled_dynamic_lqr_ik,0.5,0.68,0.0,1.0,16.053373336791992,0.0,0.7262595295906067,0.0,0.35065925121307373,0.0,0.16053372621536255,0.0,16.926923751831055,0.0,0.28427854180336,0.0,0.0,0.0,0.06615546345710754,0.0
