controller,height,episode,seed,survival_time,fall_rate,pitch_RMS_deg,roll_RMS_deg,height_RMSE,CoM_error_RMS,wheel_speed_RMS,wheel_cmd_RMS,action_saturation_rate,action_rate_RMS
height_scheduled_dynamic_lqr_ik,0.7,0,42,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,1,43,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,2,44,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,3,45,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,4,46,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,5,47,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,6,48,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,7,49,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,8,50,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,9,51,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,10,52,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,11,53,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,12,54,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,13,55,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,14,56,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,15,57,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,16,58,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,17,59,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,18,60,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.7,19,61,0.42,1.0,21.080690383911133,0.4760442078113556,0.2531084716320038,0.21080690622329712,19.110126495361328,0.08606057614088058,0.0,0.019123168662190437
height_scheduled_dynamic_lqr_ik,0.65,0,42,0.32,1.0,20.74844741821289,0.5838416218757629,0.25320571660995483,0.20748446881771088,16.18777847290039,0.08566969633102417,0.0,0.028259605169296265
height_scheduled_dynamic_lqr_ik,0.65,1,43,0.32,1.0,20.74844741821289,0.5838416218757629,0.25320571660995483,0.20748446881771088,16.18777847290039,0.08566969633102417,0.0,0.028259605169296265
height_scheduled_dynamic_lqr_ik,0.65,2,44,0.32,1.0,20.74844741821289,0.5838416218757629,0.25320571660995483,0.20748446881771088,16.18777847290039,0.08566969633102417,0.0,0.028259605169296265
height_scheduled_dynamic_lqr_ik,0.65,3,45,0.32,1.0,20.74844741821289,0.5838416218757629,0.25320571660995483,0.20748446881771088,16.18777847290039,0.08566969633102417,0.0,0.028259605169296265
