case_name,segment,row_count,com_z_m_final,com_z_m_min,com_z_m_max,com_z_m_max_abs,com_z_m_rms,support_position_error_m_final,support_position_error_m_min,support_position_error_m_max,support_position_error_m_max_abs,support_position_error_m_rms,hip_yaw_abs_max_final,hip_yaw_abs_max_min,hip_yaw_abs_max_max,hip_yaw_abs_max_max_abs,hip_yaw_abs_max_rms,yaw_z_rad_final,yaw_z_rad_min,yaw_z_rad_max,yaw_z_rad_max_abs,yaw_z_rad_rms,pitch_x_rad_final,pitch_x_rad_min,pitch_x_rad_max,pitch_x_rad_max_abs,pitch_x_rad_rms,roll_y_rad_final,roll_y_rad_min,roll_y_rad_max,roll_y_rad_max_abs,roll_y_rad_rms,wheel_vel_mean_rad_s_final,wheel_vel_mean_rad_s_min,wheel_vel_mean_rad_s_max,wheel_vel_mean_rad_s_max_abs,wheel_vel_mean_rad_s_rms,tau_saturation_rate_final,tau_saturation_rate_min,tau_saturation_rate_max,tau_saturation_rate_max_abs,tau_saturation_rate_rms,hidden_torque_norm_final,hidden_torque_norm_min,hidden_torque_norm_max,hidden_torque_norm_max_abs,hidden_torque_norm_rms,ownership_violation_count_final,ownership_violation_count_min,ownership_violation_count_max,ownership_violation_count_max_abs,ownership_violation_count_rms,contact_valid_percent,tau_wbc_correction_norm_max
nominal,full_5000,5000,0.4081849455833435,0.4037677347660064,0.408547043800354,0.408547043800354,0.40749030780262785,0.0902057165287386,-0.0439469200967061,0.1060617172825227,0.1060617172825227,0.05713624505136324,0.0102422703057527,0.0,0.0564832426607608,0.0564832426607608,0.029330664768629097,-0.0810525623751873,-0.0959694453189669,0.0198193289824628,0.0959694453189669,0.04661120200225815,0.0649499729306789,-0.035754679737776,0.0711304926597348,0.0711304926597348,0.041112467129532225,0.0045401308349785,0.0,0.0130751316192003,0.0130751316192003,0.0069000598747428355,-1.2551087737083435,-3.867526888847351,3.363069176673889,3.867526888847351,2.312102776986233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98,0.0
nominal,first_500,500,0.4067489802837372,0.4037677347660064,0.408547043800354,0.408547043800354,0.40787858778291575,-0.0226910541678315,-0.0256251854868189,0.1025795224498245,0.1025795224498245,0.05586701806271299,0.03612707182765,0.0,0.0361686013638973,0.0361686013638973,0.017288454038532505,-0.0060085554491276,-0.0100382770802026,0.0198193289824628,0.0198193289824628,0.011453801077573997,-0.0203966843301438,-0.0210588131087149,0.070561958783719,0.070561958783719,0.04009569251416481,0.0100214347593585,0.0,0.0103710233954217,0.0103710233954217,0.0055886585879725455,-0.9931674897670746,-2.8868279457092285,2.814545750617981,2.8868279457092285,1.864322399448033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0
nominal,final_500,500,0.4081849455833435,0.4059019982814789,0.4083900451660156,0.4083900451660156,0.40749779548253035,0.0902057165287386,-0.0362085681864534,0.1060617172825227,0.1060617172825227,0.05902324035535655,0.0102422703057527,0.0058178091421723,0.0501143671572208,0.0501143671572208,0.028102041537821847,-0.0810525623751873,-0.0959694453189669,-0.0633619647011405,0.0959694453189669,0.07708711843156894,0.0649499729306789,-0.0299783091539835,0.0711304926597348,0.0711304926597348,0.041438855305983936,0.0045401308349785,0.0007848123752584,0.0128694509644227,0.0128694509644227,0.006637127818599863,-1.2551087737083435,-3.7649751901626582,3.238350749015808,3.7649751901626582,2.4490706686518324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
low_tiny,full_5000,5000,0.4004407823085785,0.3983054757118225,0.4026660323143005,0.4026660323143005,0.40199765072145993,-0.0449786752388499,-0.0539626413473867,0.109590027603286,0.109590027603286,0.06121894393259897,0.0406457185745239,0.0,0.0420027114450931,0.0420027114450931,0.017802424094171074,-0.1276205799552562,-0.1276205799552562,0.0191398307199773,0.1276205799552562,0.06238433231473255,-0.0406368499941248,-0.0445972403463993,0.0728116248189794,0.0728116248189794,0.0431042595243902,0.0113266233702336,-0.0003508883147604,0.0119575616877646,0.0119575616877646,0.004978322697451271,-1.7562170028686523,-4.036306142807007,3.691452980041504,4.036306142807007,2.5394906946001186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98,0.0
low_tiny,first_500,500,0.4011243283748626,0.3983054757118225,0.4026169180870056,0.4026169180870056,0.40199272014192394,-0.0261699401075096,-0.0439189347156198,0.0925058944176641,0.0925058944176641,0.04969084688049344,0.0270936544984579,0.0,0.0292368587106466,0.0292368587106466,0.015919583871868228,-0.0035781059529886,-0.0041293912624612,0.0191398307199773,0.0191398307199773,0.011952203165515977,-0.0263335109428304,-0.03534424792256,0.067188536867957,0.067188536867957,0.03766590589875181,0.0093591139131186,0.0,0.0097298032246455,0.0097298032246455,0.00503348634699031,-2.4938411712646484,-3.304561495780945,3.353688359260559,3.353688359260559,2.041830741730534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0
low_tiny,final_500,500,0.4004407823085785,0.4003562927246094,0.4026072323322296,0.4026072323322296,0.4019152819975465,-0.0449786752388499,-0.0524393539777615,0.1085283277138063,0.1085283277138063,0.06144907981303816,0.0406457185745239,0.0030964445322752,0.0414168126881122,0.0414168126881122,0.019456735808182343,-0.1276205799552562,-0.1276205799552562,-0.099214495777674,0.1276205799552562,0.10925263035722844,-0.0406368499941248,-0.0434865394192615,0.0723513392072276,0.0723513392072276,0.04289666291205394,0.0113266233702336,-0.0002087057465304,0.0113266233702336,0.0113266233702336,0.005280017856635681,-1.7562170028686523,-3.968896269798279,3.650887846946716,3.968896269798279,2.5092798405825905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
high_tiny,full_5000,5000,0.3914946019649505,0.3906297981739044,0.414409726858139,0.414409726858139,0.40546539991614355,0.0478366414899187,-0.075762113550191,0.1564629688863962,0.1564629688863962,0.06564182017569596,0.2679102122783661,0.0,0.2719013392925262,0.2719013392925262,0.15159590364441222,-0.0576344370770371,-0.0576344370770371,0.0205585072882748,0.0576344370770371,0.03090650017620027,0.0314976895355145,-0.0597215266103831,0.086820274359194,0.086820274359194,0.04379313005947121,0.0004925592441049,-0.000254031274297,0.0145059093858985,0.0145059093858985,0.005415360351716826,-3.063505053520202,-6.095878601074219,4.316342115402222,6.095878601074219,1.978080026852186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.98,0.0
high_tiny,first_500,500,0.4126021265983581,0.4091885685920715,0.414409726858139,0.414409726858139,0.41367246892618315,-0.0046104102941152,-0.0059821359574525,0.1247306172717082,0.1247306172717082,0.06674161946921338,0.0452749170362949,0.0,0.0452749170362949,0.0452749170362949,0.01915782543520524,-0.0089251336093141,-0.0149769038975914,0.0205585072882748,0.0205585072882748,0.012106315008247945,-0.0012321039059835,-0.0012321039059835,0.0768981870418017,0.0768981870418017,0.043564556687070204,0.0109789309519088,0.0,0.0111203521286086,0.0111203521286086,0.00650890731746578,1.248817265033722,-3.4171900749206543,2.2362149953842163,3.4171900749206543,1.6444867453634224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8,0.0
high_tiny,final_500,500,0.3914946019649505,0.3906297981739044,0.3952209651470184,0.3952209651470184,0.39327690157410894,0.0478366414899187,-0.0080165469101322,0.1057723528528371,0.1057723528528371,0.06336575679034724,0.2679102122783661,0.2388872355222702,0.2719013392925262,0.2719013392925262,0.2540361910972638,-0.0576344370770371,-0.0576344370770371,-0.0510855276637024,0.0576344370770371,0.054028121386115124,0.0314976895355145,-0.0068887264040917,0.0709680196900572,0.0709680196900572,0.04301532923073198,0.0004925592441049,-0.000254031274297,0.0011135568696438,0.0011135568696438,0.0006331335317295491,-3.063505053520202,-3.063505053520202,2.491602659225464,3.063505053520202,1.9074074426499599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
