step,time_s,support_position_error_m,pitch_x_rad,pitch_x_error_rad,pitch_rate_x_rad_s,roll_y_rad,yaw_z_rad,com_z_m,wheel_vel_mean_rad_s,tau_position,tau_position_raw,tau_position_saturation_flag,tau_pitch,tau_pitch_rate,tau_sagittal_velocity,tau_support_velocity,tau_total_before_final_clip,tau_total_after_final_clip,final_wheel_torque_margin,torque_rate_saturation_mask_wheel_left,torque_rate_saturation_mask_wheel_right,contact_state,contact_valid,ownership_violation_count,hidden_torque_norm,tau_wbc_norm,torque_rate_saturation_fraction
1320,13.21000000000108,0.12632115868407245,0.07361560834273591,0.07346583485414933,0.014323164708912373,-0.015908991748061933,-0.029953346342428543,0.4004664123058319,-1.0063445568084717,-3.0,-3.0,True,3.6732917427074665,0.0,-0.9712278842926025,0.0,0.023546651,0.023546651,29.939086005,False,False,double_contact,True,0,0.0,0.0,0.0
1321,13.220000000001084,0.12694045490207145,0.07376682887066474,0.07361560834273591,0.014443720690906048,-0.01606300383780269,-0.030402264750398412,0.40041378140449524,-1.0161916315555573,-3.0,-3.0,True,3.6807804171367953,0.0,-0.9815879166126251,0.0,0.02332399,0.02332399,29.93891398,False,False,double_contact,True,0,0.0,0.0,0.0
1322,13.230000000001088,0.12756578698238943,0.07391953972466747,0.07376682887066474,0.014568213373422623,-0.016219519878888804,-0.030862873737021543,0.4003602862358093,-1.026136040687561,-3.0,-3.0,True,3.688341443533237,0.0,-0.9920820593833923,0.0,0.023070593,0.023070593,29.93876634,False,False,double_contact,True,0,0.0,0.0,0.0
1323,13.240000000001091,0.128197215904769,0.07407378380387115,0.07391953972466747,0.014695539139211178,-0.01637860543119057,-0.03133545231909078,0.40030592679977417,-1.0362048745155334,-3.0,-3.0,True,3.6959769862333736,0.0,-1.0026879608631134,0.0,0.0228442755,0.0228442755,29.93858386,False,False,double_contact,True,0,0.0,0.0,0.0
1324,13.250000000001094,0.12883480516848778,0.07422959530007153,0.07407378380387115,0.014825109392404556,-0.016540330870039817,-0.03182030903608267,0.400250643491745,-1.0463662445545197,-3.0,-3.0,True,3.7036891901935576,0.0,-1.0134167969226837,0.0,0.022605306999999998,0.022605306999999998,29.93840582,False,False,double_contact,True,0,0.0,0.0,0.0
1325,13.260000000001098,0.12947861063632188,0.07438701102557291,0.07422959530007153,0.014957454986870289,-0.016704766088105425,-0.032317773580073164,0.4001944363117218,-1.0566287636756897,-3.0,-3.0,True,3.7114797650035767,0.0,-1.0242573916912079,0.0,0.022368718000000003,0.022368718000000003,29.938217204,False,False,double_contact,True,0,0.0,0.0,0.0
1326,13.270000000001101,0.13012868934458896,0.07454606475989603,0.07438701102557291,0.015091675333678722,-0.016871980604501253,-0.03282819208042887,0.4001373052597046,-1.0669848918914795,-3.0,-3.0,True,3.7193505512786453,0.0,-1.035209745168686,0.0,0.0221378875,0.0221378875,29.93801456,False,False,double_contact,True,0,0.0,0.0,0.0
1327,13.280000000001104,0.13078509440455424,0.0747067843418419,0.07454606475989603,0.01522765215486288,-0.017042039188584233,-0.03335195771503483,0.4000791907310486,-1.0774250030517578,-3.0,-3.0,True,3.7273032379948017,0.0,-1.0462962090969086,0.0,0.021870881000000002,0.021870881000000002,29.93783936,False,False,double_contact,True,0,0.0,0.0,0.0
1328,13.290000000001108,0.131447880128531,0.07486922608643128,0.0747067843418419,0.015368836000561714,-0.017214988634259958,-0.03388952423207543,0.4000200629234314,-1.0879830718040466,-3.0,-3.0,True,3.735339217092095,0.0,-1.057494431734085,0.0,0.0216146995,0.0216146995,29.937643528,False,False,double_contact,True,0,0.0,0.0,0.0
1329,13.300000000001111,0.13211710733678722,0.0750334417247394,0.07486922608643128,0.015512882731854916,-0.017390882338845504,-0.03444134037292773,0.399959921836853,-1.0986361503601074,-3.0,-3.0,True,3.743461304321564,0.0,-1.0688267648220062,0.0,0.021365388500000006,0.021365388500000006,29.93743713,False,False,double_contact,True,0,0.0,0.0,0.0
1330,13.310000000001114,0.13279283351729543,0.075199460004936,0.0750334417247394,0.015657512471079826,-0.017569786180576474,-0.03500785626103325,0.3998987376689911,-1.1093764901161194,-3.0,-3.0,True,3.75167208623697,0.0,-1.0802820324897766,0.0,0.021113114000000002,0.021113114000000002,29.93722917,False,False,double_contact,True,0,0.0,0.0,0.0
1331,13.320000000001118,0.13347511104811075,0.07536731116334498,0.075199460004936,0.015804393216967583,-0.01775177895075773,-0.03558953325928545,0.3998364806175232,-1.1202040314674377,-3.0,-3.0,True,3.7599730002468004,0.0,-1.0918714106082916,0.0,0.020821592500000003,0.020821592500000003,29.9370553,False,False,double_contact,True,0,0.0,0.0,0.0
1332,13.330000000001121,0.13416399735071785,0.07553705039809305,0.07536731116334498,0.015956170856952667,-0.01793694660463862,-0.03618684639639184,0.39977312088012695,-1.1311522722244263,-3.0,-3.0,True,3.768365558167249,0.0,-1.1035948991775513,0.0,0.020525760999999997,0.020525760999999997,29.936879925,False,False,double_contact,True,0,0.0,0.0,0.0
1333,13.340000000001124,0.13485955906011898,0.07570872439218376,0.07553705039809305,0.016109179705381393,-0.018125378944285172,-0.03680028438519629,0.39970865845680237,-1.1422180533409119,-3.0,-3.0,True,3.7768525199046525,0.0,-1.1154413223266602,0.0,0.020268157000000002,0.020268157000000002,29.93665989,False,False,double_contact,True,0,0.0,0.0,0.0
1334,13.350000000001128,0.13556185333464016,0.0758823664988904,0.07570872439218376,0.0162655096501112,-0.018317155092126048,-0.0374303229356671,0.3996430039405823,-1.1533629298210144,-3.0,-3.0,True,3.785436219609188,0.0,-1.127433031797409,0.0,0.0199654395,0.0199654395,29.93647498,False,False,double_contact,True,0,0.0,0.0,0.0
1335,13.360000000001131,0.1362709284216242,0.07605803639579302,0.0758823664988904,0.016424747183918953,-0.018512345651756683,-0.03807743085839317,0.39957618713378906,-1.1646272540092468,-3.0,-3.0,True,3.79411832494452,0.0,-1.1395364999771118,0.0,0.019705049500000002,0.019705049500000002,29.93623904,False,False,double_contact,True,0,0.0,0.0,0.0
1336,13.370000000001134,0.13698684075512235,0.0762346176895332,0.07605803639579302,0.0159453097730875,-0.018711776424306277,-0.03874977171978643,0.39950814843177795,-1.1759657263755798,-3.0,-3.0,True,3.802901819789651,0.0,-1.15179643034935,0.0,0.019403582000000003,0.019403582000000003,29.936035596,False,False,double_contact,True,0,0.0,0.0,0.0
1337,13.380000000001138,0.13770963430654964,0.07641122089450395,0.0762346176895332,0.016322238370776176,-0.018914395641912038,-0.03948159918225187,0.3994382619857788,-1.1901965737342834,-3.0,-3.0,True,3.8117308844766598,0.0,-1.1641904711723328,0.0,0.014028307,0.014028307,29.939479623,False,False,double_contact,True,0,0.0,0.0,0.0
1338,13.390000000001141,0.13843663554782548,0.07659371988842441,0.07641122089450395,0.016692275181412697,-0.019121460168009512,-0.04027923221205626,0.3993665277957916,-1.2043483257293701,-3.0,-3.0,True,3.8205610447251974,0.0,-1.1759363114833832,0.0,0.018042508999999998,0.018042508999999998,29.93711328,False,False,double_contact,True,0,0.0,0.0,0.0
