step,time_s,torso_x,torso_y,torso_z,quat_w,quat_x,quat_y,quat_z,roll_rad,pitch_rad,yaw_rad,body_vx,body_vy,body_vz,body_wx,body_wy,body_wz,l_hip_roll_pos,l_hip_yaw_pos,l_hip_pitch_pos,l_knee_pos,l_wheel_pos,r_hip_roll_pos,r_hip_yaw_pos,r_hip_pitch_pos,r_knee_pos,r_wheel_pos,l_hip_roll_vel,l_hip_yaw_vel,l_hip_pitch_vel,l_knee_vel,l_wheel_vel,r_hip_roll_vel,r_hip_yaw_vel,r_hip_pitch_vel,r_knee_vel,r_wheel_vel,l_hip_roll_torque,l_hip_yaw_torque,l_hip_pitch_torque,l_knee_torque,l_wheel_torque,r_hip_roll_torque,r_hip_yaw_torque,r_hip_pitch_torque,r_knee_torque,r_wheel_torque,l_hip_roll_ctrl,l_hip_yaw_ctrl,l_hip_pitch_ctrl,l_knee_ctrl,l_wheel_ctrl,r_hip_roll_ctrl,r_hip_yaw_ctrl,r_hip_pitch_ctrl,r_knee_ctrl,r_wheel_ctrl
0,0.0,-0.0009124253311482638,-0.0005314583814936427,0.706384377676128,0.9997009897543824,0.021488379916216813,-0.0022594919589917733,0.011448812548586646,0.042925892386969686,-0.005009686517382678,0.022795933142164174,-0.0873776571999399,-0.31423751337965017,0.13707816957247201,6.801740253343384,-0.649521972057852,2.070673328487576,-0.03144086357742321,0.00016998491247800687,0.3751881492093572,0.5805215037175585,-0.29637857677458435,-0.0570104768478815,0.00434881482899945,0.368021516148397,0.5836194335032119,-0.3555317127114846,-1.9262080300830247,0.3599257763197693,4.733657539308375,-2.05351688233006,-24.073850952205696,-4.929416776525722,0.32375412582980034,4.082286840702297,-2.679286656554285,-30.16911103345669,-6.192966461181641,-7.147918701171875,30.0,-30.0,-15.0,-9.921895027160645,3.0544700622558594,10.65533447265625,-12.961395263671875,-15.0,-6.192966461181641,-7.147918701171875,30.0,-30.0,-15.0,-9.921895027160645,3.0544700622558594,10.65533447265625,-12.961395263671875,-15.0
1,0.02,-0.0030859134838557337,-0.002314611403819462,0.7090341394533105,0.9990685076298708,0.023007368047302943,-0.005526793156566515,0.03608646055191076,0.04559246044750188,-0.012704140669146498,0.07191915993905537,-0.1225405827660021,0.04862767139731283,0.08231702509079161,-4.061561650407357,0.19199433856206422,2.6844839009811494,-0.14837707419828064,-0.005771024783063306,0.33085154815374074,0.6459015434924351,-0.38814796297970666,-0.17945311395248398,0.010714193373357717,0.3091443127837488,0.6280668859089075,-0.565002828249516,-7.977869428886664,-0.30328926705689896,-6.907144776951372,6.839880719872496,11.759640685083543,-7.0353943205621015,0.7217276181422629,-7.664683235054082,5.301994216710464,5.945546576333998,-14.634007453918457,-1.7175540924072266,-30.0,24.59228515625,15.0,-15.0,1.6744384765625,-30.0,21.089359283447266,15.0,-14.634007453918457,-1.7175540924072266,-30.0,24.59228515625,15.0,-15.0,1.6744384765625,-30.0,21.089359283447266,15.0
2,0.04,-0.004992085036981845,-0.005883893691376985,0.7081676640532261,0.9970740535698789,0.03577233331159721,-0.022985777739528538,0.06352421498047002,0.068555707509874,-0.05040320265486969,0.12552051738220768,-0.07989362599411119,-0.3231722993066779,-0.15514429409091574,4.592835785101773,-3.286088850079596,2.8026687316244363,-0.30797389613529486,0.026404102560179634,0.2783374810682494,0.5921027376540174,-0.0030515552746176247,-0.2649763850459234,0.06828182346819694,0.24566445472518614,0.5629413541413786,-0.18946735178618945,-8.191500374159657,2.543675868223204,0.5423530114953999,-8.483963455356458,25.25376737843805,-2.6518415698717552,4.208390719437198,-0.007314970046362279,-8.440952485945724,29.07439736823733,-14.957345008850098,8.492393493652344,17.95464324951172,-30.0,5.785154342651367,2.229644775390625,15.0,17.273826599121094,-30.0,9.73055648803711,-14.957345008850098,8.492393493652344,17.95464324951172,-30.0,5.785154342651367,2.229644775390625,15.0,17.273826599121094,-30.0,9.73055648803711
3,0.06,-0.004073236896593287,-0.006260662501128472,0.7111783147178735,0.9956752537306383,0.023318441526742437,-0.0060365743599824365,0.08972513116842562,0.045373448923349366,-0.016206145249709123,0.17937647495740142,0.07190695157736318,0.13918952354435857,0.14159441072184087,-4.184025680551105,4.544299883971813,2.6618517224561375,-0.4331308257425501,0.0015619156176004843,0.17557659454552313,0.6084726631289319,0.41550637980972127,-0.35547168462806167,0.040182762976713866,0.21284574160703876,0.5380359860924232,0.4133124801539051,-4.986126221691288,-2.8023870031579285,-8.526664129101846,6.411883001493232,17.48115186639033,-5.979706581233815,-3.6869120078175746,-4.762750579493671,2.236688715893156,38.51439861370975,-1.6597709655761719,-15.0,-30.0,26.603992462158203,-2.642745018005371,-15.0,-15.0,-27.35312843322754,18.49939727783203,10.658344268798828,-1.6597709655761719,-15.0,-30.0,26.603992462158203,-2.642745018005371,-15.0,-15.0,-27.35312843322754,18.49939727783203,10.658344268798828
4,0.08,-0.0019943522431157476,-0.007144646182560752,0.71116152917003,0.9918646353046925,0.024632142671976106,0.0013412249086780328,0.12488396172056074,0.04921866673365668,-0.0034916991103764437,0.25041243891186393,0.12695426724021125,-0.1625434049442025,-0.10593461166303123,2.8672843771084042,-1.9515286901940336,4.218717073726112,-0.5217854486631549,-0.0014349764329157485,0.11940739798175132,0.5713909964036836,0.6850873361088604,-0.44343944646049277,0.0347231452525465,0.23037999497303333,0.5235170100552958,0.769558041317427,-4.265154947092173,1.6445096350017578,1.2768247657832257,-6.919924575899267,10.22519490967902,-3.332718834954161,2.0883186654927957,4.501075181445911,-2.765733866450499,1.1346812979542955,-7.85090446472168,15.0,30.0,-30.0,-2.833085060119629,-1.102304458618164,15.0,18.13037872314453,-13.153545379638672,-15.0,-7.85090446472168,15.0,30.0,-30.0,-2.833085060119629,-1.102304458618164,15.0,18.13037872314453,-13.153545379638672,-15.0
5,0.1,-0.00024991496156182117,-0.007425590390604379,0.7077729785919533,0.9850354015684806,0.011180776389670542,0.010454184880445933,0.1716710747756694,0.025622684077499777,0.016757436873964776,0.34530689024318617,0.05970485161034916,0.08023103367068597,-0.23548373791122718,-3.561068815867109,3.5434177355344874,4.998488415879687,-0.6642785928388171,0.011617639086140831,0.02583932524198799,0.5092692330642679,1.2773602790942529,-0.5499529748362715,0.03536882996430859,0.18664969087236016,0.5105678959164616,1.1851968056554225,-8.63219183658383,0.07940783813543192,-8.551066405137117,-0.6134046527550392,45.2379972338906,-6.58120669794152,-1.4348588449751496,-6.425781796960604,0.9411208579873453,36.60912076175018,-14.162383079528809,-4.953649520874023,-30.0,9.313568115234375,15.0,-15.0,-15.0,-30.0,12.853046417236328,15.0,-14.162383079528809,-4.953649520874023,-30.0,9.313568115234375,15.0,-15.0,-15.0,-30.0,12.853046417236328,15.0
6,0.12,0.0011363151071581562,-0.009330151341054922,0.7066979406923211,0.9760106940027374,0.01738689231625597,0.008685400929015525,0.2168533720710421,0.03771711529514063,0.009413414943177639,0.43744144173220856,0.05581102411076548,-0.21554947492347157,0.4320805791073817,2.177318474457608,-2.769468554637574,4.330859634833153,-0.7627561437502192,0.012749607688505294,-0.0008283027217036373,0.42298101594509846,1.7149856476831156,-0.6578845552155352,0.04593675530464002,0.19456969609107394,0.4755396960468012,1.6567441883633287,-1.2149275995759645,-0.25166446970228834,3.013792158197379,-4.639658540865057,1.979539699345926,-4.658268745398814,1.746054337009621,4.248851145677159,-0.7130990356603424,13.894962439797785,-12.268264770507812,5.379966735839844,30.0,-30.0,-15.0,-1.8776063919067383,15.0,30.0,-26.22985076904297,-9.171648025512695,-12.268264770507812,5.379966735839844,30.0,-30.0,-15.0,-1.8776063919067383,15.0,30.0,-26.22985076904297,-9.171648025512695
7,0.14,0.0023881923686964977,-0.0102243713795729,0.7139906965888343,0.9676727531125348,-0.0029423787185427976,0.010718331658269806,0.25196409001591397,-0.0002933225308679713,0.022228252995408263,0.5094474913204271,0.06612487337598658,0.04818611224451498,0.2813755678546934,-4.496773534386704,3.1264355609729217,3.031229752952225,-0.7553639076386807,0.01822602095734861,-0.04107101999120649,0.49378176412901903,2.1452806223774656,-0.7428143110376041,0.05696805132787261,0.14073652908585427,0.4759873707673777,2.3084768203809873,0.9741086716847075,0.43702166058384656,-5.638315919231791,8.451457960187081,37.27138287256371,-1.798367605509533,-0.35110664274219683,-7.401900943407521,1.0071958698441605,48.16801717812422,-10.570402145385742,3.7682571411132812,-30.0,30.0,15.0,-15.0,-15.0,-30.0,10.56833267211914,15.0,-10.570402145385742,3.7682571411132812,-30.0,30.0,15.0,-15.0,-15.0,-30.0,10.56833267211914,15.0
8,0.16,0.004118209129686765,-0.013254038028884101,0.7169763941735898,0.9593041586275014,0.0028720339984174073,0.009739341124051459,0.2821921825550154,0.011008865605305646,0.017065878178021635,0.5722810624390066,0.10941934452726082,-0.2805679786777992,0.049647186505809515,3.744256034031525,-2.5698817180769957,3.3991579112248473,-0.7359597167966438,-0.0027594752122488495,-0.047191816972772305,0.4747708698711688,2.550351576227703,-0.743594112157383,0.037859402292123014,0.1623541870583038,0.5023804388333633,2.852222755694307,0.8686631960851986,-1.8047667590067256,3.6075843480973955,-6.644006690055161,6.518857951184211,0.685229831790199,-1.1122815853862256,6.499692616778379,0.9872834747118948,10.29671876953498,-10.322815895080566,-4.001521110534668,30.0,-30.0,-12.320733070373535,-4.972216606140137,5.055034637451172,30.0,-6.650487899780273,-15.0,-10.322815895080566,-4.001521110534668,30.0,-30.0,-12.320733070373535,-4.972216606140137,5.055034637451172,30.0,-6.650487899780273,-15.0
9,0.18,0.006243144292547927,-0.016032134883396464,0.7165101003286599,0.9483390357083636,0.0019301956926970742,-0.00045829342491637295,0.31725248251740346,0.0033701841586844207,-0.002093955370028028,0.6456595784380061,0.09136241439996576,-0.0475774450635085,-0.0903432425098283,-3.091113817425378,0.15467214320472972,3.768877237321056,-0.722954211377674,0.013841115611631098,-0.029160402767384925,0.4888426182223065,3.0699115513470554,-0.7300921698496071,0.04750335833310586,0.13100182690974815,0.43623420354364356,3.448178923493015,0.48391825838760083,2.55027399448817,-1.083972796431145,5.074726656439816,41.669835473572086,0.598912836332996,1.3103727805815897,-6.50799466400677,-5.335284997092081,45.484163124174714,-13.675156593322754,15.0,-9.48508071899414,19.182849884033203,15.0,-15.0,-4.919761657714844,-30.0,-5.196229934692383,15.0,-13.675156593322754,15.0,-9.48508071899414,19.182849884033203,15.0,-15.0,-4.919761657714844,-30.0,-5.196229934692383,15.0
