step,time_s,torso_x,torso_y,torso_z,quat_w,quat_x,quat_y,quat_z,roll_rad,pitch_rad,yaw_rad,body_vx,body_vy,body_vz,body_wx,body_wy,body_wz,l_hip_roll_pos,l_hip_yaw_pos,l_hip_pitch_pos,l_knee_pos,l_wheel_pos,r_hip_roll_pos,r_hip_yaw_pos,r_hip_pitch_pos,r_knee_pos,r_wheel_pos,l_hip_roll_vel,l_hip_yaw_vel,l_hip_pitch_vel,l_knee_vel,l_wheel_vel,r_hip_roll_vel,r_hip_yaw_vel,r_hip_pitch_vel,r_knee_vel,r_wheel_vel,l_hip_roll_torque,l_hip_yaw_torque,l_hip_pitch_torque,l_knee_torque,l_wheel_torque,r_hip_roll_torque,r_hip_yaw_torque,r_hip_pitch_torque,r_knee_torque,r_wheel_torque,l_hip_roll_ctrl,l_hip_yaw_ctrl,l_hip_pitch_ctrl,l_knee_ctrl,l_wheel_ctrl,r_hip_roll_ctrl,r_hip_yaw_ctrl,r_hip_pitch_ctrl,r_knee_ctrl,r_wheel_ctrl
10,0.2,-0.07004756023819514,0.0051113451523904195,0.7226948841324745,0.9668182604133342,-0.006932013390142906,-0.030796444546400514,-0.253507352013692,0.002214666062609182,-0.06310563875659998,-0.5129399185905162,-0.5964384686633684,0.40117949476632686,-0.0009137928663530241,-5.623143319561085,0.7212911184448803,-4.783840203316885,-0.0813128905640365,0.05946443856599778,-0.028114480798987852,0.07469730242394611,4.889824779235339,0.05342474662031867,0.0069320253535157025,-0.21657565094502942,0.09388383407270648,3.5948879967415444,-1.147766574288102,-1.6481596409053507,-3.614638756325675,8.412106952044743,5.15362643141538,6.515716111883675,-5.852616047318668,-3.40292857955186,9.43832635732653,35.95772198563826,-5.346820831298828,-5.268059730529785,-30.0,30.0,-15.0,15.0,-15.0,-18.73929786682129,30.0,15.0,-5.346820831298828,-5.268059730529785,-30.0,30.0,-15.0,15.0,-15.0,-18.73929786682129,30.0,15.0
11,0.22,-0.08349974267564096,0.009751658126470858,0.7201486399362917,0.9570525471576565,-0.006676060068776152,-0.027356383490720195,-0.28854372369419,0.0030131142733981126,-0.05624531444871338,-0.585734908557117,-0.6602723619945285,0.05279355069223771,-0.043936692239132956,3.162542111010048,1.1675610633556603,-2.455986667380913,-0.006456860000780721,0.012025624475315242,-0.010371473493118106,0.05249973935593332,5.389458031046255,0.020205399034853223,-0.036287944693399826,-0.2582558804965077,0.028130661534130734,3.8929622591238693,6.537926399087507,-3.629933451514665,4.111617433966771,-6.726025622598243,40.904891369509905,-6.507641089498382,0.13580445790121554,-1.3274249458158298,-10.048827456329017,-4.028182813340387,15.0,-12.131328582763672,30.0,-28.937999725341797,15.0,-15.0,15.0,1.522146224975586,-30.0,-15.0,15.0,-12.131328582763672,30.0,-28.937999725341797,15.0,-15.0,15.0,1.522146224975586,-30.0,-15.0
12,0.24,-0.09533872160851553,0.011828589811477832,0.7241414838925297,0.9414381288542538,-0.003936166273818327,-0.026359112519987613,-0.3361308574374358,0.010323207027131194,-0.05230092163818649,-0.6861350524087468,-0.5305230794677603,0.11548657563712192,0.3281650228003606,-1.8879952454057032,-0.30125416012841233,-6.733756422782806,-0.011059723934624713,-0.003165461939544267,0.008489028918757626,0.09062417073830316,5.786462204250739,0.03857358223375114,-0.03514443666640961,-0.1725328893233177,0.110826134115704,4.079709633013897,-4.246977681222547,0.4701355483980711,-1.607399316051168,6.843741042437579,2.8957656101694913,5.024291353459541,-0.009092721394132003,7.5693216495985896,12.01367213952888,20.53563443851564,-15.0,15.0,-30.0,30.0,-15.0,15.0,10.615720748901367,30.0,30.0,15.0,-15.0,15.0,-30.0,30.0,-15.0,15.0,10.615720748901367,30.0,30.0,15.0
13,0.26,-0.10541210422478961,0.013397395932979813,0.7283231252698648,0.9292466629664383,-0.013394171232264732,-0.02734478678854626,-0.36820306649759,-0.004764908636287744,-0.06072096009334315,-0.7543738581469672,-0.47565429267640924,0.04571469554477995,0.16272501727578192,-0.44222345924062184,-0.33015977674321045,-0.8293421872422333,0.022445044752171683,-0.004621889646058904,0.008516437288018734,0.08830815766647193,6.241527630914841,0.0009056042454233092,-0.007905621567857811,-0.1329879892794584,0.1414196617164233,4.443476773758935,5.0968322811199895,-0.8005847697515265,1.4157163617038768,-4.1664673834984,38.71009091352848,-5.704458748006929,1.4667872995158366,-1.2113912176502297,-4.182747056774046,15.145466329668105,15.0,-15.0,30.0,-24.86060905456543,15.0,-15.0,15.0,-30.0,-5.622171401977539,-1.219970703125,15.0,-15.0,30.0,-24.86060905456543,15.0,-15.0,15.0,-30.0,-5.622171401977539,-1.219970703125
14,0.28,-0.11426265364235963,0.013480888063371568,0.7330779119250677,0.9160367664094826,-0.027218125902767395,-0.016354352048033295,-0.3998354053576166,-0.03684516276108065,-0.0517510128927663,-0.822161016194769,-0.418643594998825,-0.02057001170117167,0.2516697035323397,-2.6225804638586387,1.0503836414301686,-5.3414063453408644,-0.004201762695037263,-0.019678867792857754,0.0017409090788970847,0.15270257063693204,6.596590485838131,0.030221001029388836,-0.02219658060498767,-0.09927764123356375,0.15483691902508012,5.064642859306884,-5.08929149671857,-0.4098735849459636,-1.9659954829368256,7.542465305859402,0.9129403768576099,5.554169336135405,-1.738564877849433,3.598067756164682,3.177092550267395,44.740834079798354,-15.0,15.0,-30.0,30.0,-15.0,15.0,-15.0,30.0,-0.5205955505371094,14.323150634765625,-15.0,15.0,-30.0,30.0,-15.0,15.0,-15.0,30.0,-0.5205955505371094,14.323150634765625
15,0.3,-0.12129603839562712,0.013162255110918236,0.7357318622834016,0.9078462229440578,-0.04579500301230222,-0.002470789734186999,-0.41678765382794225,-0.08125331631099926,-0.042672727702108615,-0.859048193911041,-0.3037359276878205,-0.021711575051237476,0.02989954168118322,-2.1770016117704074,0.16735753877104984,0.9729399385222743,0.026240820785859542,-0.03468377930928062,-0.021329733337340916,0.13456576904915798,7.013574323465593,0.0032033633007379873,-0.020971663137320896,-0.04962927380802138,0.28581577330772023,5.532726572131122,5.389356611277302,-1.1615288176540468,-0.017957289820088762,-5.801488305158588,36.864252699773076,-5.354311920003296,1.3563699476112396,1.1521755945903798,8.700242949818085,6.473174482922847,15.0,-15.0,30.0,-30.0,15.0,-15.0,15.0,-30.0,30.0,-15.0,15.0,-15.0,30.0,-30.0,15.0,-15.0,15.0,-30.0,30.0,-15.0
16,0.32,-0.1299549304543789,0.009535744058542657,0.7329915556710132,0.9140157600591801,-0.025164361051814972,-0.007599353792764898,-0.40482612949045843,-0.03988239837246564,-0.03427294934435688,-0.8331998379651913,-0.5142565493326297,-0.28977218560126017,-0.285102343591848,4.980775052573504,0.4615457455178802,1.2887249234903746,0.015682633786232515,-0.03487726030617503,0.17576870540050252,0.26076259974650595,7.333304961299116,0.020388940696474893,-0.029570832574450024,0.02058182703800269,0.2612199583799236,5.403866236276025,-3.876418290576679,0.4810883280751074,15.53928140434284,12.528339763146771,-0.7758128166590232,4.547408532548996,-1.364491999389866,5.594339079453355,-7.038631488106117,-16.874524461882803,-15.0,15.0,30.0,30.0,-15.0,15.0,-15.0,30.0,-30.0,-9.807958602905273,-15.0,15.0,30.0,30.0,-15.0,15.0,-15.0,30.0,-30.0,-9.807958602905273
17,0.34,-0.13690064594343693,0.007247651587474819,0.7301085421427582,0.9136186623838501,-0.036716285552592244,0.007388127758608977,-0.4048435125914545,-0.07314627232065357,-0.016229549687365903,-0.8336432539618112,-0.23409517043357725,0.006953510763077861,-0.11401882800713453,-5.909188218932348,0.9755460827811084,-0.6311999736253415,0.02772368160760061,-0.04936401593164161,0.1924444628293583,0.23070008123378477,7.716088719631445,-0.006365468761990524,-0.04859009304725366,0.01878826598681048,0.32735211474079995,5.485348546317613,3.335662655418914,-1.2737552434387436,-7.667822584956781,-8.61861601628262,35.12431259384785,-4.589133187458527,-0.2290830746138735,-3.999581214491539,8.318054487030231,19.784787623768096,15.0,-15.0,-30.0,-21.627384185791016,15.0,-15.0,15.0,-30.0,30.0,15.0,15.0,-15.0,-30.0,-21.627384185791016,15.0,-15.0,15.0,-30.0,30.0,15.0
18,0.36,-0.14411834552465125,0.003039612706547441,0.7243592257420133,0.914588041934925,-0.03495923755895536,0.01999593497969785,-0.4023763509989412,-0.08012694923629626,0.008442645449949902,-0.8292745152220025,-0.43571752057772756,-0.4197505693593183,-0.2543177059479878,3.243677814266083,2.2058395382143536,0.7360912914267432,0.006768846158015655,-0.06539149971042915,0.29208984456549825,0.33461048163386276,8.001850834388513,0.012278235750241982,-0.08114624054929205,0.020790575500078845,0.3283676351039273,5.503627596112878,-3.648472659125726,-1.2815633413946004,12.090084038658908,12.225842948740466,-2.4395011518181917,2.790107841364465,-3.013303063674511,2.0843681666381713,-0.12258603006383606,-9.209995015043189,-15.0,15.0,30.0,30.0,-15.0,15.0,-15.0,30.0,-30.0,-15.0,-15.0,15.0,30.0,30.0,-15.0,15.0,-15.0,30.0,-30.0,-15.0
19,0.38,-0.15223861832778324,-0.003473166605946728,0.7183018942874191,0.9077493393458107,-0.007867526104817231,0.009233439732394015,-0.41933755202812606,-0.02203025933246485,0.010165174420964441,-0.8656109414451882,-0.39587932276729887,-0.2654499557973821,-0.3857849064554681,2.786061153992616,-1.4589301412485582,-3.340960354745243,0.050290068542603705,-0.023237026273840333,0.39485226163225196,0.31923913907551893,8.307060826836059,-0.022026108043930945,-0.07336667004007537,0.17909575219656615,0.5271349684326788,5.68137387943428,5.500506141198575,4.812095832864066,1.0947721783639073,-7.6473658602787555,29.460904185902606,-4.56192083958568,2.7470236027023742,11.047593385882566,15.464891284445189,24.767079222710446,15.0,15.0,-15.866174697875977,-18.39255142211914,13.279422760009766,-15.0,15.0,30.0,30.0,15.0,15.0,15.0,-15.866174697875977,-18.39255142211914,13.279422760009766,-15.0,15.0,30.0,30.0,15.0
