step,time_s,torso_x,torso_y,torso_z,quat_w,quat_x,quat_y,quat_z,roll_rad,pitch_rad,yaw_rad,body_vx,body_vy,body_vz,body_wx,body_wy,body_wz,l_hip_roll_pos,l_hip_yaw_pos,l_hip_pitch_pos,l_knee_pos,l_wheel_pos,r_hip_roll_pos,r_hip_yaw_pos,r_hip_pitch_pos,r_knee_pos,r_wheel_pos,l_hip_roll_vel,l_hip_yaw_vel,l_hip_pitch_vel,l_knee_vel,l_wheel_vel,r_hip_roll_vel,r_hip_yaw_vel,r_hip_pitch_vel,r_knee_vel,r_wheel_vel,l_hip_roll_torque,l_hip_yaw_torque,l_hip_pitch_torque,l_knee_torque,l_wheel_torque,r_hip_roll_torque,r_hip_yaw_torque,r_hip_pitch_torque,r_knee_torque,r_wheel_torque,l_hip_roll_ctrl,l_hip_yaw_ctrl,l_hip_pitch_ctrl,l_knee_ctrl,l_wheel_ctrl,r_hip_roll_ctrl,r_hip_yaw_ctrl,r_hip_pitch_ctrl,r_knee_ctrl,r_wheel_ctrl
0,0.0,0.000938209795020783,0.0016086065822904108,0.7025858501585126,0.9999804007494544,0.0023935035928709645,0.005677612886572081,0.00111084176290722,0.004799854809601282,0.01134992929483338,0.0022489655071855057,0.07240801518687026,-0.12271418670866525,-0.1636567789227004,3.3289047289975797,0.8432451090911026,0.2491439223686238,-0.00994702850183663,-0.013187784546212895,0.4029817199941048,0.6782276888291319,-0.3234945547175334,0.019520806458942542,-0.009472753425860948,0.3584529732153612,0.6128028105212127,-0.14309031046685458,-0.17187158100883776,-0.8492688339203571,6.872119175258944,5.663139450224684,-26.66872609045289,1.0968471636774464,-0.7743194228896251,3.036838953495579,0.48768443857911326,-10.16518446406715,-1.107353925704956,-1.0652638673782349,16.846677780151367,10.923050880432129,-11.2575101852417,3.6802797317504883,0.7967544198036194,11.333181381225586,-7.83330774307251,-5.807405471801758,-1.107353925704956,-1.0652638673782349,16.846677780151367,10.923050880432129,-11.2575101852417,3.6802797317504883,0.7967544198036194,11.333181381225586,-7.83330774307251,-5.807405471801758
1,0.02,-0.0001081007357157376,0.0011887733609460816,0.703112099395156,0.9999026740480831,0.012151226070535736,-0.001387985334934839,-0.0067129451946605165,0.024321202493471618,-0.002612562438561718,-0.013458767391773973,-0.19551674951901646,0.07754730595092212,0.2842606917939479,-0.8602715446594662,-2.4034748961824457,-1.4250443531104664,0.014616259981281177,0.0015974065754985611,0.39789347364671007,0.6166914512244082,-0.44485827642555725,0.010660769779490093,0.0034448352836866786,0.3954540835667732,0.6742860289031578,0.04264231061065015,1.7774495885316748,2.4772693152043663,-3.8656075174517612,-6.279718451935756,9.766770316098517,-1.4782532893625282,2.12462784665734,0.640477022634395,4.709088995230732,25.40145733038654,7.089705467224121,-1.2825684547424316,-18.567176818847656,-30.0,15.0,-5.419619083404541,2.779001235961914,1.011529564857483,11.168850898742676,15.0,7.089705467224121,-1.2825684547424316,-18.567176818847656,-30.0,15.0,-5.419619083404541,2.779001235961914,1.011529564857483,11.168850898742676,15.0
2,0.04,-0.002672196501424548,0.0014874275479848063,0.7067070815549708,0.999778233952135,0.013225454946507493,-0.009474033454314938,-0.013372095838527276,0.0267062084106076,-0.018591231710079478,-0.026996801547177308,-0.012576896315421304,-0.020060307489577073,0.25491920074896446,0.5330706964388283,0.9347021150646073,-0.3304710063317479,-0.02276625744037001,0.006357999515205203,0.43655887456241343,0.7011431607444807,-0.6525056655465302,0.0175740091075486,0.01477570150741735,0.3562722254981858,0.6035413396087372,0.1508156374164926,-3.877116600428244,-1.834522461502597,4.903304401907675,9.885241200971782,-26.566975066386583,1.2355802557138258,-1.0390950163478465,-2.8461699221404757,-4.442746766838736,-9.373271773866502,-11.040430068969727,-3.787743091583252,14.511979103088379,25.664793014526367,-15.0,6.092486381530762,-3.1166129112243652,-4.749972343444824,-26.16997528076172,-15.0,-11.040430068969727,-3.787743091583252,14.511979103088379,25.664793014526367,-15.0,6.092486381530762,-3.1166129112243652,-4.749972343444824,-26.16997528076172,-15.0
3,0.06,-0.003616724823480196,0.0025549994319547633,0.7114938162211808,0.9995088021818137,0.008074191811454733,-0.00899480967825935,-0.028914618906711077,0.016663941562669943,-0.01751475401286988,-0.0579874650774645,-0.07174267513122247,0.09190371707494734,0.18896448996761475,-1.1261327137456503,-0.5116988229716697,-2.2537408241310914,0.006203448474106598,0.00045465178453618074,0.39411575015669087,0.6366896927519566,-0.7713533733312381,0.022638438712316612,0.012062595389342654,0.3517631508060627,0.6484420692481178,0.3341219488270297,4.570707683378174,0.5449054329410068,-6.05055275053322,-10.581602688859668,10.618384222389606,-0.5899241153636884,0.3542321980542482,0.9452517322783021,6.212552887699346,25.18476267911207,14.63092041015625,0.8343157172203064,-16.86042022705078,-30.0,15.0,-3.7131597995758057,1.0177801847457886,1.9434905052185059,18.32369613647461,15.0,14.63092041015625,0.8343157172203064,-16.86042022705078,-30.0,15.0,-3.7131597995758057,1.0177801847457886,1.9434905052185059,18.32369613647461,15.0
4,0.08,-0.004592258830410176,0.0028747781174075066,0.7119220604603299,0.9990464907301748,0.011739823562269647,-0.007405594729634928,-0.04139375640299731,0.024074976097361128,-0.01382559650893536,-0.08298559232149617,-0.03966738619913921,-0.03131489800751066,-0.10037231012081388,1.2890214410685146,0.4566341774150383,-0.7484912652014333,-0.014439944151774428,-0.013205452883420624,0.40327734891174216,0.647837699752142,-0.9625863177773013,0.011759045038421241,0.00861887977043461,0.3453911269367907,0.6222374522064863,0.43143710865438156,-4.318324655831325,-1.2960056780700768,4.105019985762674,6.714615761091019,-25.770483016435627,-0.43368704844154704,-0.37527265402113996,-0.8474144730541852,-5.625107104054617,-11.514918449763456,-15.0,-0.2046915590763092,11.955970764160156,22.116220474243164,-15.0,0.4897587299346924,0.3363378345966339,2.687926769256592,-19.8551025390625,-15.0,-15.0,-0.2046915590763092,11.955970764160156,22.116220474243164,-15.0,0.4897587299346924,0.3363378345966339,2.687926769256592,-19.8551025390625,-15.0
5,0.1,-0.005204085928462323,0.0032751206257771595,0.7089384591423432,0.9984496004706284,0.013230822339850882,-0.009386837876064907,-0.05324685845139657,0.027427817731657676,-0.017336438009469945,-0.10679591024950069,-0.018314883804539977,0.05063809165827261,-0.20829385433198333,-0.5347813525241649,-0.4970301863279969,-1.2467829887486717,0.012055376104261002,-0.00818659121586146,0.37499021310726416,0.559507252652932,-1.0661384936384644,0.032524986820029286,0.014534701102872092,0.33946375577328053,0.6294161889862809,0.6005430868573889,4.641803320993932,1.1056119170613607,-4.419945571344446,-10.68239793457145,11.363906654557361,1.818039763916222,0.5529556656846941,-0.19202580508349143,3.8010141272760136,24.550705726622702,15.0,2.498741388320923,-7.147167682647705,-30.0,15.0,3.8385796546936035,-1.3947694301605225,-7.534313678741455,16.292997360229492,15.0,15.0,2.498741388320923,-7.147167682647705,-30.0,15.0,3.8385796546936035,-1.3947694301605225,-7.534313678741455,16.292997360229492,15.0
6,0.12,-0.005835543247758839,0.003964721252635923,0.7042510216214152,0.9977239090358224,0.01319709102798563,-0.005944756699070546,-0.06585968413579361,0.027121860926532675,-0.0101243122498788,-0.13196591140282563,0.039864295880760424,0.01672085812220073,-0.08241206260458678,0.009989814739164118,1.5943132557813255,-1.259528176939926,-0.01137863519041921,-0.02070498358010771,0.3843459609334102,0.6065989523145074,-1.2396131600217606,0.021385620871677117,0.005022558300050328,0.3321606147060039,0.6234432113305458,0.6870137156288991,-4.514376223444008,-2.2469763032530228,2.5940944402464683,9.400332676717058,-24.772307193728686,-1.589380403204296,-1.7396099645346461,0.036388265267214726,0.7552198715545891,-11.129036643271736,-15.0,-1.522688865661621,-1.2278552055358887,30.0,-15.0,-5.5925822257995605,-1.0349539518356323,10.811959266662598,-19.600440979003906,-15.0,-15.0,-1.522688865661621,-1.2278552055358887,30.0,-15.0,-5.5925822257995605,-1.0349539518356323,10.811959266662598,-19.600440979003906,-15.0
7,0.14,-0.005165007381744915,0.004601385023029333,0.7039269186696752,0.9966801443882827,0.015520560275218299,-0.004013309452148895,-0.07982289983543041,0.03158450909920304,-0.005522207498378557,-0.15992362262386325,-0.05091464645868113,0.08617527250287442,0.1790373093735185,-0.04195958267993159,-1.6119199437239868,-1.39249618110636,0.014842512268017267,-0.019204980726291395,0.37791905791928065,0.593084340165282,-1.325370395967295,0.027192958434169197,0.005817626445813056,0.3489128889104717,0.6576915484459022,0.8482321947541261,4.378111814696844,1.9970315973158115,-1.0456282124895173,-3.932630670581968,11.694838152597612,1.1692946118082677,1.9353563936063254,0.6795527739069609,2.36736985796107,24.166381891918622,15.0,4.528731346130371,1.7855507135391235,-30.0,15.0,3.6118481159210205,1.6986315250396729,-1.2568423748016357,6.5400590896606445,15.0,15.0,4.528731346130371,1.7855507135391235,-30.0,15.0,3.6118481159210205,1.6986315250396729,-1.2568423748016357,6.5400590896606445,15.0
8,0.16,-0.005984302515334758,0.006245410925898222,0.7060636504335499,0.9959303528025037,0.006820586376406026,-0.0078101868621639195,-0.08952772168072236,0.014986215321150015,-0.014336032252760032,-0.1794125956667307,0.03938775590580075,0.06969146981043055,0.2001144761135093,-1.6017255116285443,1.0305642478888326,-0.6661505048777054,-0.014629501746232294,-0.01948803727029531,0.39846593602865027,0.7037009791455796,-1.4958212865523106,0.03211146886636935,0.014715770848919684,0.29878157313750636,0.6004558879699544,0.9285921863878321,-4.797794257930657,-1.8108676250117104,1.6676902706281649,10.765633233819711,-24.76268030290588,-0.1845117694329414,-1.1779878572035392,-3.893552800328983,-2.181318846750967,-11.362632405935734,-15.0,-1.16142737865448,-1.8735969066619873,30.0,-15.0,-1.278218388557434,-3.0157692432403564,-5.1729841232299805,-19.398719787597656,-15.0,-15.0,-1.16142737865448,-1.8735969066619873,30.0,-15.0,-1.278218388557434,-3.0157692432403564,-5.1729841232299805,-19.398719787597656,-15.0
9,0.18,-0.005815358301411677,0.007405769141890997,0.70853576921323,0.9940210742670997,0.0081934524176147,-0.006080365106996506,-0.10871062694385973,0.017612775391474687,-0.010306773892633483,-0.21795394903040544,-0.015004828784404204,0.04480391609790161,0.043533190717920583,1.2656508412752556,-0.3252061867640658,-2.6521533727870925,0.012179126145025782,-0.02585516705886404,0.3787155877100154,0.6691860178422414,-1.579138366092562,0.017034010917247707,0.01022287982612202,0.3312503928826219,0.6588802632906838,1.0865191592655483,4.875744597130496,0.5023152831618913,-2.2202353440285654,-8.90226736805503,12.371892614148651,-1.2095576961818193,0.2803791438406133,4.769506851772396,5.693761065724205,24.008247307072857,15.0,1.3652398586273193,-2.251990556716919,-30.0,15.0,-2.7774698734283447,0.17308688163757324,15.36982536315918,12.60373592376709,15.0,15.0,1.3652398586273193,-2.251990556716919,-30.0,15.0,-2.7774698734283447,0.17308688163757324,15.36982536315918,12.60373592376709,15.0
