time,height_cmd,height_actual,height_error,height_rate,pitch,pitch_rate,roll,roll_rate,yaw,yaw_rate,com_y,wheel_contact_y,com_y_error,com_y_error_rate,base_action_0,base_action_1,base_action_2,base_action_3,base_action_4,base_action_5,base_action_6,base_action_7,base_action_8,base_action_9,raw_wheel_cmd_l,raw_wheel_cmd_r,filtered_wheel_cmd_l,filtered_wheel_cmd_r,hip_pitch_target_l,hip_pitch_target_r,knee_target_l,knee_target_r,hip_pitch_actual_l,hip_pitch_actual_r,knee_actual_l,knee_actual_r,wheel_vel_actual_l,wheel_vel_actual_r,vmc_height_correction,vmc_com_correction,pitch_ref_from_com,roll_correction_l,roll_correction_r,yaw_correction_diff,action_saturation_rate,action_rate,fell
0.0,0.7,0.0,0.7,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06629863323367702,0.06629863323367702,0.0,0.0,0.0,0.7476501634585292,-0.8513483621020429,-0.00974589915648124,-0.0,0.0,0.7476501634585292,-0.8513483621020429,-0.00974589915648124,-0.6497266104320826,-0.6497266104320826,-0.1949179831296248,-0.1949179831296248,0.7476501634585292,0.7476501634585292,-0.8513483621020429,-0.8513483621020429,0.3665297329425812,0.365729957818985,0.4192410409450531,0.5132476091384888,0.0,0.0,-0.0040816326530613845,0.1988958825262227,0.06629863323367702,0.0,-0.0,0.0,0.0,80.12083435058594,False
0.02,0.7,-0.004872949793934822,0.7048729497939348,-0.16929809749126434,0.08139091730117798,0.360630601644516,0.013067330233752728,6.896800518035889,0.0,0.5216037631034851,0.0,-0.1257338411498345,0.1257338411498345,-0.14304859936237335,1.0,0.0,0.8990028185462016,-0.78223290084664,-0.04817716568496938,-1.0,0.0,0.8990028185462016,-0.78223290084664,-0.06527739107397314,-3.327009931328959,-3.327009931328959,-1.1345455675894252,-1.1345455675894252,0.8990028185462016,0.8990028185462016,-0.78223290084664,-0.78223290084664,0.5012790560722351,0.5029540061950684,0.44678401947021484,0.554060161113739,-0.8783872127532959,-0.16171768307685852,-0.0040816326530613845,0.2913723547847905,0.1257338411498345,0.4000000059604645,-0.4000000059604645,0.17100225389003754,0.20000000298023224,71.76227569580078,False
0.04,0.7,-0.035075169056653976,0.7350751690566539,-0.4346429705619812,0.2556149661540985,0.08593181520700455,0.01547544077038765,9.966521263122559,0.0,0.595246434211731,0.0,-0.26062787843546154,0.26062787843546154,-0.2500426769256592,1.0,0.0,1.0,-0.5277593488650472,-0.12099636794489371,-1.0,0.0,1.0,-0.5277593488650472,-0.14308392704885947,-6.155403508749782,-6.155403508749782,-2.640802949937532,-2.640802949937532,1.0,1.0,-0.5277593488650472,-0.5277593488650472,0.7044395208358765,0.6944041848182678,0.30276456475257874,0.4028349816799164,2.6888747215270996,-5.080322742462158,-0.0040816326530613845,0.3530816395672002,0.26062787843546154,0.4000000059604645,-0.4000000059604645,0.2208755910396576,0.4000000059604645,20.079275131225586,False
0.06,0.7,-0.08907955139875412,0.7890795513987541,-0.8223108649253845,0.4322378635406494,-0.3245808482170105,0.011059512384235859,7.8277692794799805,0.0,0.4064296782016754,0.0,-0.36669838561059004,0.36669838561059004,-0.39596542716026306,1.0,0.0,1.0,-0.35536932220611045,-0.20278262000121985,-1.0,0.0,1.0,-0.35536932220611045,-0.22031031649150765,-7.941224333236674,-7.941224333236674,-4.230929364927275,-4.230929364927275,1.0,1.0,-0.35536932220611045,-0.35536932220611045,0.9739075899124146,0.9690149426460266,0.3383878767490387,0.434903085231781,-33.42328643798828,26.259252548217773,-0.0040816326530613845,0.3530816395672002,0.36669838561059004,0.4000000059604645,-0.4000000059604645,0.1752769649028778,0.4000000059604645,13.424748420715332,False
0.08,0.7,-0.15469492971897125,0.8546949297189712,-0.5769488215446472,0.5294023752212524,-0.23162704706192017,0.007329348474740982,3.0150845050811768,0.0,0.031286269426345825,0.0,-0.4207873184600407,0.4207873184600407,-0.3016936182975769,1.0,0.0,1.0,-0.2526158445440957,-0.3087855306226841,-1.0,0.0,1.0,-0.2526158445440957,-0.31430740587004335,-11.167214330841167,-11.167214330841167,-6.230929364927275,-6.230929364927275,1.0,1.0,-0.2526158445440957,-0.2526158445440957,1.078511357307434,1.0844759941101074,0.252542644739151,0.34508925676345825,4.079690933227539,-10.425599098205566,-0.0040816326530613845,0.3530816395672002,0.4207873184600407,0.4000000059604645,-0.4000000059604645,0.05521875247359276,0.4000000059604645,10.147490501403809,False
0.1,0.7,-0.23450115323066711,0.9345011532306671,-1.0645619630813599,0.6154348254203796,-0.5721080899238586,0.003951013553887606,4.957763671875,0.0,0.03906528279185295,0.0,-0.4482305092229031,0.4482305092229031,-0.6925629377365112,1.0,0.0,1.0,-0.30556520158875095,-0.35522326034558516,-1.0,0.0,1.0,-0.30556520158875095,-0.35876021188748575,-9.260613889605388,-9.260613889605388,-7.1398347223307095,-7.1398347223307095,1.0,1.0,-0.30556520158875095,-0.30556520158875095,1.2369624376296997,1.2516233921051025,0.3212805986404419,0.4025847911834717,-32.059993743896484,25.476436614990234,-0.0040816326530613845,0.3530816395672002,0.4482305092229031,0.4000000059604645,-0.4000000059604645,0.03536951541900635,0.4000000059604645,4.934516906738281,False
0.12,0.7,-0.2966306805610657,0.9966306805610656,-0.7947453856468201,0.669520378112793,-0.24129098653793335,0.007080645766109228,1.313878059387207,0.0,-0.428088903427124,0.0,-0.45953690734885355,0.45953690734885355,-0.6414743065834045,1.0,0.0,1.0,-0.2573048620599387,-0.4349720142181916,-1.0,0.0,1.0,-0.2573048620599387,-0.42189038017354435,-11.902465460952872,-11.902465460952872,-8.568623943917359,-8.568623943917359,1.0,1.0,-0.2573048620599387,-0.2573048620599387,1.3036181926727295,1.3195388317108154,0.264506071805954,0.32877597212791443,5.395482063293457,-11.15727710723877,-0.0040816326530613845,0.3530816395672002,0.45953690734885355,0.4000000059604645,-0.4000000059604645,-0.13081634044647217,0.4000000059604645,6.124419212341309,False
0.14,0.7,-0.35926052927970886,1.0592605292797088,-1.307309627532959,0.7319608926773071,-0.15736611187458038,0.011851314455270767,4.231239318847656,0.0,-0.1968628317117691,0.0,-0.4556705890783839,0.4556705890783839,-1.144925594329834,1.0,0.0,1.0,-0.49173667149337064,-0.4562341862579045,-1.0,0.0,1.0,-0.49173667149337064,-0.4485175595839677,-10.164935658921902,-10.164935658921902,-9.047517458418723,-9.047517458418723,1.0,1.0,-0.49173667149337064,-0.49173667149337064,1.4459478855133057,1.4571577310562134,0.3459620475769043,0.3944256007671356,-30.78949737548828,24.78337287902832,-0.0040816326530613845,0.3530816395672002,0.4556705890783839,0.4000000059604645,-0.4000000059604645,-0.07716626673936844,0.4000000059604645,16.664155960083008,False
0.16,0.7,-0.4038890600204468,1.1038890600204467,-0.9549378156661987,0.760517954826355,-0.2587161362171173,0.01864898018538952,-0.40101271867752075,0.0,-0.4356882572174072,0.0,-0.44366190621252816,0.44366190621252816,-0.9485025405883789,-0.35274246531434594,0.0,1.0,-0.4305798706868186,-0.49504718715263973,0.35274246531434594,0.0,1.0,-0.4305798706868186,-0.47856948906494745,-11.34301513760922,-11.34301513760922,-9.736166762175872,-9.736166762175872,1.0,1.0,-0.4305798706868186,-0.4305798706868186,1.4748882055282593,1.485975980758667,0.26974737644195557,0.3141940236091614,6.605831146240234,-11.818428993225098,-0.0040816326530613845,0.3530816395672002,0.44366190621252816,-0.12310712039470673,0.12310712039470673,-0.1647769808769226,0.20000000298023224,95.7824935913086,False
0.18,0.7,-0.44122928380966187,1.1412292838096618,-1.4673858880996704,0.8082655072212219,-0.04824574291706085,0.02461724355816841,4.250826835632324,0.0,-0.20214764773845673,0.0,-0.42999021027320444,0.42999021027320444,-1.4999382495880127,1.0,0.0,1.0,-0.7085143691815128,-0.4875254687946427,-1.0,0.0,1.0,-0.7085143691815128,-0.47689241441899416,-9.429540328710864,-9.429540328710864,-9.644178832136369,-9.644178832136369,1.0,1.0,-0.7085143691815128,-0.7085143691815128,1.5834673643112183,1.593220829963684,0.33508962392807007,0.37544387578964233,-29.650339126586914,16.872615814208984,-0.0040816326530613845,0.3530816395672002,0.42999021027320444,0.4000000059604645,-0.4000000059604645,-0.10633054375648499,0.4000000059604645,97.65217590332031,True
