time,height_cmd,height_actual,height_error,height_rate,pitch,pitch_rate,roll,roll_rate,yaw,yaw_rate,com_y,wheel_contact_y,com_y_error,com_y_error_rate,base_action_0,base_action_1,base_action_2,base_action_3,base_action_4,base_action_5,base_action_6,base_action_7,base_action_8,base_action_9,raw_wheel_cmd_l,raw_wheel_cmd_r,filtered_wheel_cmd_l,filtered_wheel_cmd_r,hip_pitch_target_l,hip_pitch_target_r,knee_target_l,knee_target_r,hip_pitch_actual_l,hip_pitch_actual_r,knee_actual_l,knee_actual_r,wheel_vel_actual_l,wheel_vel_actual_r,vmc_height_correction,vmc_com_correction,pitch_ref_from_com,roll_correction_l,roll_correction_r,yaw_correction_diff,action_saturation_rate,action_rate,fell
0.0,0.6,0.0,0.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016916565832686945,0.016916565832686945,0.0,0.0,0.0,0.08632436904097328,0.26987994995381137,-0.002740483592297261,-0.0,0.0,0.08632436904097328,0.26987994995381137,-0.002740483592297261,0.0,0.0,0.0,0.0,0.08632436904097328,0.08632436904097328,0.26987994995381137,0.26987994995381137,0.22837327420711517,0.35831665992736816,0.4121180474758148,0.5950289964675903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.03679084777832,False
0.02,0.6,-0.001370241749100387,0.6013702417491004,-0.12150662392377853,0.03157315030694008,-1.9055384397506714,-0.03994238004088402,3.1906423568725586,0.0,0.4779891073703766,0.0,-0.03613119129075126,0.03613119129075126,0.059499599039554596,-0.4285714626312256,0.0,-0.056121833661978864,0.06592397173111511,0.08178290094181032,0.4285714626312256,0.0,-0.056121833661978864,0.06592397173111511,0.07061963456614942,0.0,0.0,0.0,0.0,-0.056121833661978864,-0.056121833661978864,0.06592397173111511,0.06592397173111511,0.4051368236541748,0.48213109374046326,0.6588753461837769,0.7760576605796814,-2.1668779850006104,-0.40587714314460754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.48418045043945,False
0.04,0.6,0.034624695777893066,0.5653753042221069,0.23364202678203583,-0.009889811277389526,-0.6021949052810669,-0.06277257204055786,-5.169956684112549,0.0,0.20808251202106476,0.0,-0.015308460523945716,0.015308460523945716,0.2038126438856125,-0.3925078809261322,0.0,-0.056121833661978864,0.06592397173111511,0.07097468800502084,0.3925078809261322,0.0,-0.056121833661978864,0.06592397173111511,0.06466435031624697,0.0,0.0,0.0,0.0,-0.056121833661978864,-0.056121833661978864,0.06592397173111511,0.06592397173111511,0.39012691378593445,0.4360925555229187,0.688564121723175,0.7948101162910461,26.422903060913086,10.251182556152344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6236648559570312,False
0.06,0.6,0.04964452236890793,0.550355477631092,-0.4966309666633606,-0.015140639618039131,-0.7203774452209473,-0.07688577473163605,2.5888173580169678,0.0,-0.4237383306026459,0.0,-0.0146262357959899,0.0146262357959899,0.06602389365434647,-0.4285714626312256,0.0,-0.056121833661978864,0.06592397173111511,0.07660292939305106,0.4285714626312256,0.0,-0.056121833661978864,0.06592397173111511,0.08368127805203,0.0,0.0,0.0,0.0,-0.056121833661978864,-0.056121833661978864,0.06592397173111511,0.06592397173111511,0.4612615406513214,0.4862673878669739,0.8086763620376587,0.912682831287384,-10.68138313293457,-26.070920944213867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7360942363739014,False
0.08,0.6,0.06666290014982224,0.5333370998501777,-0.11801823228597641,-0.0579688586294651,-0.6368874311447144,-0.08996494859457016,-4.980449676513672,0.0,-0.14039292931556702,0.0,0.005812992249067568,-0.005812992249067568,0.15757110714912415,-0.4285714626312256,0.0,-0.056121833661978864,0.06592397173111511,0.08921041712573059,0.4285714626312256,0.0,-0.056121833661978864,0.06592397173111511,0.09254065086541959,0.0,0.0,0.0,0.0,-0.056121833661978864,-0.056121833661978864,0.06592397173111511,0.06592397173111511,0.42120712995529175,0.4259728193283081,0.8082494139671326,0.891563355922699,25.667388916015625,11.04460334777832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7704499363899231,False
0.1,0.6,0.07960177958011627,0.5203982204198837,-0.8892782926559448,-0.05607810243964195,-0.6970276236534119,-0.1054944396018982,2.8783271312713623,0.0,-0.9407590627670288,0.0,0.002090516947936494,-0.002090516947936494,0.04957479611039162,-0.4285714626312256,0.0,-0.056121833661978864,0.06592397173111511,0.09791896162361917,0.4285714626312256,0.0,-0.056121833661978864,0.06592397173111511,0.11991977361769494,0.0,0.0,0.0,0.0,-0.056121833661978864,-0.056121833661978864,0.06592397173111511,0.06592397173111511,0.4858173727989197,0.4746660888195038,0.9172245860099792,0.9740484952926636,-11.396082878112793,-25.33098793029785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4365367889404297,False
0.12,0.6,0.09976077824831009,0.5002392217516899,-0.06630239635705948,-0.09956622868776321,0.8269665241241455,-0.11243488639593124,-6.014745235443115,0.0,0.8821961283683777,0.0,0.022138064858137144,-0.022138064858137144,0.2308688759803772,0.11398965120315552,0.0,-0.056121833661978864,0.06592397173111511,0.05048752885333343,-0.11398965120315552,0.0,-0.056121833661978864,0.06592397173111511,0.038106994070327714,0.0,0.0,0.0,0.0,-0.056121833661978864,-0.056121833661978864,0.06592397173111511,0.06592397173111511,0.4279683828353882,0.4355977177619934,0.8865047097206116,0.9891881942749023,25.021333694458008,8.94394588470459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.655147552490234,False
0.14,0.6,0.0689338892698288,0.5310661107301712,-0.7283031344413757,-0.11126384884119034,0.6660228967666626,-0.09523272514343262,2.7048561573028564,0.0,0.10110505670309067,0.0,0.018488243151861754,-0.018488243151861754,0.12847478687763214,0.08167658746242523,0.0,-0.056121833661978864,0.06592397173111511,0.016400771392386087,-0.08167658746242523,0.0,-0.056121833661978864,0.06592397173111511,0.018781605819116958,0.0,0.0,0.0,0.0,-0.056121833661978864,-0.056121833661978864,0.06592397173111511,0.06592397173111511,0.4687439799308777,0.5063197016716003,0.9618332982063293,1.0957329273223877,-12.016424179077148,-26.823909759521484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.009836196899414,False
0.16,0.6,0.043857745826244354,0.5561422541737556,-0.0736004188656807,-0.1644965559244156,0.9822984337806702,-0.08178100734949112,-6.312994956970215,0.0,1.5962169170379639,0.0,0.036050603846290774,-0.036050603846290774,0.33917486667633057,0.245935320854187,0.0,-0.056121833661978864,0.06592397173111511,-0.0032802308783961773,-0.245935320854187,0.0,-0.056121833661978864,0.06592397173111511,-0.03254954245547786,0.0,0.0,0.0,0.0,-0.056121833661978864,-0.056121833661978864,0.06592397173111511,0.06592397173111511,0.41002535820007324,0.47522810101509094,0.9262098670005798,1.0906834602355957,24.411640167236328,9.124308586120605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.935670852661133,False
0.18,0.6,0.005654102191329002,0.594345897808671,-0.7151176929473877,-0.18230198323726654,0.8631425499916077,-0.054478295147418976,2.557438373565674,0.0,1.063233494758606,0.0,0.030631504996496563,-0.030631504996496563,0.23055091500282288,0.2532368004322052,0.0,-0.056121833661978864,0.06592397173111511,-0.013303938307142969,-0.2532368004322052,0.0,-0.056121833661978864,0.06592397173111511,-0.035875202141977064,0.0,0.0,0.0,0.0,-0.056121833661978864,-0.056121833661978864,0.06592397173111511,0.06592397173111511,0.45627856254577637,0.5382946729660034,1.0027176141738892,1.1700797080993652,-12.59754467010498,-26.392419815063477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7385085225105286,False
