time,height_cmd,height_actual,height_error,height_rate,pitch,pitch_rate,roll,roll_rate,yaw,yaw_rate,com_y,wheel_contact_y,com_y_error,com_y_error_rate,base_action_0,base_action_1,base_action_2,base_action_3,base_action_4,base_action_5,base_action_6,base_action_7,base_action_8,base_action_9,raw_wheel_cmd_l,raw_wheel_cmd_r,filtered_wheel_cmd_l,filtered_wheel_cmd_r,hip_pitch_target_l,hip_pitch_target_r,knee_target_l,knee_target_r,hip_pitch_actual_l,hip_pitch_actual_r,knee_actual_l,knee_actual_r,wheel_vel_actual_l,wheel_vel_actual_r,vmc_height_correction,vmc_com_correction,pitch_ref_from_com,roll_correction_l,roll_correction_r,yaw_correction_diff,action_saturation_rate,action_rate,fell
0.0,0.6,0.0,0.6,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.016916565832686945,0.016916565832686945,0.0,0.0,0.0,0.5051850472163842,-0.9620704825802353,-0.002740483592297261,-0.0,0.0,0.5051850472163842,-0.9620704825802353,-0.002740483592297261,-0.1826989061531507,-0.1826989061531507,-0.05480967184594522,-0.05480967184594522,0.5051850472163842,0.5051850472163842,-0.9620704825802353,-0.9620704825802353,0.22837327420711517,0.35831665992736816,0.4121180474758148,0.5950289964675903,0.0,0.0,-0.0040816326530613845,0.050749696502272124,0.016916565832686945,0.0,-0.0,0.0,0.20000000298023224,76.83746337890625,False
0.02,0.6,-0.001370241749100387,0.6013702417491004,0.12021589279174805,0.07576391100883484,-2.1300504207611084,-0.04397059977054596,7.067729473114014,0.0,-0.2469920814037323,0.0,-0.07968735904759552,0.07968735904759552,-0.11810816079378128,1.0,0.0,0.6974067647016186,-0.8742920965119625,0.08145560088976518,-1.0,0.0,0.6974067647016186,-0.8742920965119625,0.08947290170415535,5.825505987437889,5.825505987437889,1.7092850259392054,1.7092850259392054,0.6974067647016186,0.6974067647016186,-0.8742920965119625,-0.8742920965119625,0.37806227803230286,0.4502110183238983,0.48148804903030396,0.5265945196151733,-1.045074224472046,-0.09696295857429504,-0.0040816326530613845,0.1681971658857503,0.07968735904759552,0.4000000059604645,-0.4000000059604645,-0.08017300814390182,0.20000000298023224,72.5413818359375,False
0.04,0.6,0.04405133053660393,0.555948669463396,-0.06828658282756805,0.23786325752735138,-1.2520473003387451,-0.0675719827413559,8.687159538269043,0.0,-1.650219202041626,0.0,-0.20282580098865627,0.20282580098865627,-0.11793450266122818,1.0,0.0,1.0,-0.5981190533678391,0.019531245276916808,-1.0,0.0,1.0,-0.5981190533678391,0.07611199145077545,-0.8002238362684034,-0.8002238362684034,0.9564323672769226,0.9564323672769226,1.0,1.0,-0.5981190533678391,-0.5981190533678391,0.5525990128517151,0.6316138505935669,0.32907938957214355,0.4320749044418335,16.77777099609375,13.113396644592285,-0.0040816326530613845,0.3530816395672002,0.20282580098865627,0.4000000059604645,-0.4000000059604645,-0.5658074617385864,0.4000000059604645,29.14110565185547,False
0.06,0.6,0.060081660747528076,0.5399183392524719,-0.4742446541786194,0.4231310188770294,-0.8638941645622253,-0.07224515080451965,9.176342010498047,0.0,-1.870609998703003,0.0,-0.32097154835698105,0.32097154835698105,-0.3039030134677887,1.0,0.0,1.0,-0.41661224830904947,-0.07921680520815819,-1.0,0.0,1.0,-0.41661224830904947,-0.007400640953015979,-5.118923729018625,-5.118923729018625,-0.8661744616117417,-0.8661744616117417,1.0,1.0,-0.41661224830904947,-0.41661224830904947,0.8306386470794678,0.85597825050354,0.36568528413772583,0.36847984790802,-19.989168167114258,-23.23965072631836,-0.0040816326530613845,0.3530816395672002,0.32097154835698105,0.4000000059604645,-0.4000000059604645,-0.7181616425514221,0.4000000059604645,14.371410369873047,False
0.08,0.6,0.026340510696172714,0.5736594893038273,-0.38197335600852966,0.5583911538124084,-2.671416759490967,-0.08259792625904083,4.992918968200684,0.0,-1.0296485424041748,0.0,-0.39357651908386665,0.39357651908386665,-0.28216665983200073,1.0,0.0,1.0,-0.2526158445440957,-0.08987991262717912,-1.0,0.0,1.0,-0.2526158445440957,-0.029655457032162637,-1.963438578217327,-1.963438578217327,-1.1953536965934175,-1.1953536965934175,1.0,1.0,-0.2526158445440957,-0.2526158445440957,0.9670380353927612,1.0335893630981445,0.27309727668762207,0.3351733982563019,16.869056701660156,13.525872230529785,-0.0040816326530613845,0.3530816395672002,0.39357651908386665,0.4000000059604645,-0.4000000059604645,-0.6022445559501648,0.4000000059604645,11.661755561828613,False
0.1,0.6,-0.0016574729233980179,0.601657472923398,-0.7254868745803833,0.6696848273277283,-1.0274602174758911,-0.09342582523822784,5.6294403076171875,0.0,-0.8537258505821228,0.0,-0.43045122548269454,0.43045122548269454,-0.5801142454147339,1.0,0.0,1.0,-0.2950036861911958,-0.1928838317517824,-1.0,0.0,1.0,-0.2950036861911958,-0.12665153790755937,-7.982864168860074,-7.982864168860074,-3.1953536965934175,-3.1953536965934175,1.0,1.0,-0.2950036861911958,-0.2950036861911958,1.1363542079925537,1.2307205200195312,0.33455151319503784,0.41650721430778503,-19.88559341430664,-22.90195655822754,-0.0040816326530613845,0.3530816395672002,0.43045122548269454,0.4000000059604645,-0.4000000059604645,-0.6623229384422302,0.4000000059604645,7.683018207550049,False
0.12,0.6,-0.06415450572967529,0.6641545057296753,-0.5353244543075562,0.7489639520645142,-0.7570746541023254,-0.10000215470790863,2.9045612812042236,0.0,-0.31070706248283386,0.0,-0.4487438555681745,0.4487438555681745,-0.6053541302680969,1.0,0.0,1.0,-0.26530709002941005,-0.28795723665996265,-1.0,0.0,1.0,-0.26530709002941005,-0.23157813299937913,-10.159101688884887,-10.159101688884887,-5.1953536965934175,-5.1953536965934175,1.0,1.0,-0.26530709002941005,-0.26530709002941005,1.2218369245529175,1.3244048357009888,0.27488934993743896,0.36691367626190186,17.00059700012207,14.02146053314209,-0.0040816326530613845,0.3530816395672002,0.4487438555681745,0.4000000059604645,-0.4000000059604645,-0.563791036605835,0.4000000059604645,7.384497165679932,False
0.14,0.6,-0.14786630868911743,0.7478663086891174,-0.9732916951179504,0.834327220916748,-0.17712311446666718,-0.10586007684469223,5.108345985412598,0.0,-0.6667137145996094,0.0,-0.4486576609609336,0.4486576609609336,-1.085191011428833,1.0,0.0,1.0,-0.4806737880773312,-0.3806719891710873,-1.0,0.0,1.0,-0.4806737880773312,-0.31015721484857756,-10.905148175270854,-10.905148175270854,-6.908292040196649,-6.908292040196649,1.0,1.0,-0.4806737880773312,-0.4806737880773312,1.3818268775939941,1.4893758296966553,0.3527042269706726,0.4716055691242218,-19.74245262145996,-22.553150177001953,-0.0040816326530613845,0.3530816395672002,0.4486576609609336,0.4000000059604645,-0.4000000059604645,-0.7051477432250977,0.4000000059604645,16.396364212036133,True
