controller,height,episode,survival_time_s,fell,max_pitch_rate_early,max_roll_rate_early,max_wheel_cmd_early,mean_saturation_early,mean_pitch_abs,mean_roll_abs,max_com_error
height_scheduled_dynamic_lqr,0.6,0,0.38,True,1.9055384397506716,5.169956684112549,0.0,0.0,0.29743210403248665,0.05133091141469774,0.0832435013186434
height_scheduled_dynamic_lqr,0.6,1,0.38,True,0.434783399105072,5.446889877319336,0.0,0.0,0.314287742273882,0.016558015206828664,0.08190104344819
height_scheduled_dynamic_lqr,0.65,0,0.38,True,1.8780938386917116,5.015838623046875,0.0,0.0,0.29850353905931115,0.04813248794525859,0.0784133546990999
height_scheduled_dynamic_lqr,0.65,1,0.36,True,0.4161079525947571,5.298282623291016,0.0,0.0,0.29192766743270976,0.013908089702262637,0.078170036934204
height_scheduled_dynamic_lqr,0.7,0,0.38,True,1.8598110675811768,5.052197456359863,0.0,0.0,0.2989679243415594,0.047229764523217393,0.0696005874365982
height_scheduled_dynamic_lqr,0.7,1,0.4,True,0.3963205218315124,5.424177169799805,0.0,0.0,0.33331802513982567,0.01615187221960648,0.0795579717133326
hierarchical_vmc_lqr,0.6,0,0.14,True,2.671416759490967,9.176342010498049,5.825505987437889,0.3200000047683716,0.4435156676918268,0.07070921454578635,0.4487438555681745
hierarchical_vmc_lqr,0.6,1,0.18,True,0.3607534766197204,9.967187881469728,11.163145862463988,0.2800000041723251,0.4885786883533001,0.01128491656854745,0.4595082213847127
hierarchical_vmc_lqr,0.65,0,0.14,True,2.6724050045013428,9.177248001098633,5.825518814384594,0.3200000047683716,0.4435374904423952,0.07070670416578646,0.4487428580966935
hierarchical_vmc_lqr,0.65,1,0.18,True,0.3606743514537811,9.966792106628418,11.16556460861454,0.2800000041723251,0.4884925350546837,0.011297567049041349,0.4595254266978557
hierarchical_vmc_lqr,0.7,0,0.14,True,2.6730763912200928,9.177848815917969,5.825552950516807,0.3200000047683716,0.44355236645787954,0.0707061411812901,0.4487422039505275
hierarchical_vmc_lqr,0.7,1,0.18,True,0.360630601644516,9.96652126312256,11.167214330841167,0.2800000041723251,0.4884345680475235,0.011308082938194238,0.4595369073488535
