controller,label,height,num_episodes,survival_time_mean,survival_time_std,fall_rate,pitch_rms_deg,roll_rms_deg,height_rmse_m,wheel_speed_rms_rads,success,error_message
height_scheduled_dynamic_lqr_ik,Phase B.6 Baseline,0.65,20,0.324,0.07761443164772902,1.0,16.11269589932023,32.86546736346535,0.11234638662359404,5.752911902367508,True,
height_scheduled_dynamic_lqr_ik,Phase B.6 Baseline,0.6,20,0.33100000000000007,0.08354040938372279,1.0,15.983085430655246,32.09095667875761,0.11191251600085943,5.743311469870792,True,
height_scheduled_dynamic_lqr_ik,Phase B.6 Baseline,0.55,20,0.33100000000000007,0.08354040938372279,1.0,15.988646155791534,32.112789266422425,0.11190363971894313,5.7434718593922,True,
height_scheduled_dynamic_lqr_ik,Phase B.6 Baseline,0.5,20,0.324,0.07787168933572715,1.0,15.144521726772819,32.318984712215496,0.11333087188895237,5.424092999006925,True,
height_scheduled_dynamic_lqr_ik,Phase B.6 Baseline,0.45,20,0.32500000000000007,0.07870832230456955,1.0,15.250206267035475,32.17393238170986,0.11300554076026499,5.418336214661151,True,
height_scheduled_dynamic_lqr_ik,Phase B.6 Baseline,0.4,20,0.32500000000000007,0.07870832230456955,1.0,15.568806760190549,32.614409328382195,0.11306467814689077,5.44516737594112,True,
height_ik_wheel_lqr_only_b8,Phase B.8 Candidate,0.65,20,0.31900000000000006,0.06556675987114202,1.0,14.508514211559255,33.85782672198187,0.11646985466353976,3.774010834644409,True,
height_ik_wheel_lqr_only_b8,Phase B.8 Candidate,0.6,20,0.314,0.0684397545290747,1.0,14.429986627269006,33.95736311441899,0.11551840124271731,3.838717225881382,True,
height_ik_wheel_lqr_only_b8,Phase B.8 Candidate,0.55,20,0.313,0.06790434448545984,1.0,14.412986032173318,33.755156684313675,0.11566768261313645,3.8268370868285215,True,
height_ik_wheel_lqr_only_b8,Phase B.8 Candidate,0.5,20,0.313,0.06790434448545984,1.0,14.407774304101697,33.732528553918876,0.11566711435150123,3.827597388824105,True,
height_ik_wheel_lqr_only_b8,Phase B.8 Candidate,0.45,20,0.313,0.06790434448545984,1.0,14.408295812432703,33.72514077031326,0.11566905514713725,3.827342469103205,True,
height_ik_wheel_lqr_only_b8,Phase B.8 Candidate,0.4,20,0.313,0.06790434448545984,1.0,14.408295812432703,33.72514077031326,0.11566905514713725,3.827342469103205,True,
hierarchical_vmc_lqr,Phase B.7 Reference,0.65,20,0.32500000000000007,0.07317786550590281,1.0,15.786324719372383,31.530411896564637,0.11361515686532678,5.1382175438298,True,
hierarchical_vmc_lqr,Phase B.7 Reference,0.6,20,0.331,0.07601973427998812,1.0,15.65894634027786,31.71462219114584,0.11372126489968519,5.18149033776743,True,
hierarchical_vmc_lqr,Phase B.7 Reference,0.55,20,0.32500000000000007,0.07533259586659681,1.0,15.552365337284794,31.2391281021559,0.11249993784324848,5.132386264373798,True,
hierarchical_vmc_lqr,Phase B.7 Reference,0.5,20,0.332,0.07909487973314075,1.0,15.834755977671714,31.790469236623796,0.1134290174490711,5.240905738520341,True,
hierarchical_vmc_lqr,Phase B.7 Reference,0.45,20,0.331,0.07601973427998812,1.0,15.658964611023823,31.71443389011456,0.11372087615269444,5.1814731326061345,True,
hierarchical_vmc_lqr,Phase B.7 Reference,0.4,20,0.32500000000000007,0.07533259586659681,1.0,15.552365337284794,31.2391281021559,0.11249993784324848,5.132386264373798,True,
