course: diag_off
 h(cm)  verdict  top?  t_edge  pk_pitch settle_s pitch_tl  herr_mm  still  seed
    32     FAIL     T     6.9       0.0    never     34.0     71.5  0.065     7
    35     PASS     T     7.2       7.6     4.87      2.7      7.9  0.000     0
    35     FAIL     T     7.0       0.0    never     26.9     34.9  0.000     1
    35     FAIL     T     7.1      28.8     1.78     24.5     33.1  0.000     2
    35     PASS     T     7.1      10.7     4.38      2.7      8.0  0.000     3
    35     PASS     T     7.1       8.1     4.73      2.7      8.1  0.000     4
    35     PASS     T     7.1       6.4     5.62      2.7      8.0  0.000     5
    35     PASS     T     7.2       6.3     4.10      2.7      8.1  0.000     6
    35     FAIL     T     7.1      34.6     1.66     26.8     34.9  0.000     7
    37     PASS     T     7.3      23.4     5.49      2.7      7.5  0.000     0
    37     FAIL     T     7.1      30.3     1.82      7.2      4.1  0.024     1
    37     FAIL     T     7.3      25.3     2.14      7.3      4.3  0.022     2
    37     PASS     T     7.2       9.4     4.05      2.7      8.0  0.000     3
    37     PASS     T     7.2      13.6     4.93      2.7      7.8  0.000     4
    37     PASS     T     7.2      24.9     5.08      2.7      8.3  0.000     5
    37     PASS     T     7.3      12.9     4.13      2.7      8.1  0.000     6
    37     PASS     T     7.2       5.3     3.18      2.7      8.4  0.000     7
    40     FALL     T       —         —        —        —        — fall@7.8s     0
    40     PASS     T     7.3      15.1     5.76      2.7      7.8  0.000     1
    40     FALL     T       —         —        —        —        — fall@7.8s     2
    40     FALL     T       —         —        —        —        — fall@7.7s     3
    40     PASS     T     7.4      11.4     4.38      2.7      7.9  0.000     4
    40     FALL     T       —         —        —        —        — fall@7.7s     5
    40     FALL     T       —         —        —        —        — fall@7.8s     6
    40     PASS     T     7.4       8.4     3.75      2.6      6.8  0.000     7

24/96 PASS
