hip_pitch,knee,torso_height,torso_pitch,knee_forward,com_to_wheel,geometric_height,knee_forward_ok,torso_upright,com_near_wheel,full_static,analytic_height,analytic_knee_forward,target_height,com_tolerance
-0.5,-0.5,0.697720007447332,0.0,0.12464990986299215,0.07759050153329573,False,True,True,False,False,0.37945611173457605,-0.12465064003709278,0.5,0.03
-0.5,-0.4785234899328859,0.6976554555031353,0.0,0.12464990986299215,0.08286324210286479,False,True,True,False,False,0.3844809556155486,-0.12465064003709278,0.5,0.03
-0.5,-0.4570469798657718,0.6974617909599936,0.0,0.12464990986299215,0.08813355048089777,False,True,True,False,False,0.38943370600291616,-0.12465064003709278,0.5,0.03
-0.5,-0.4355704697986577,0.6971391031404015,0.0,0.12464990986299215,0.09339899588105721,False,True,True,False,False,0.3943120785754933,-0.12465064003709278,0.5,0.03
-0.5,-0.4140939597315436,0.6966875408753245,0.0,0.12464990986299215,0.09865714975995926,False,True,True,False,False,0.39911382331683554,-0.12465064003709278,0.5,0.03
-0.5,-0.3926174496644295,0.696107312435555,0.0,0.12464990986299215,0.10390558693726404,False,True,True,False,False,0.403836725552998,-0.12465064003709278,0.5,0.03
-0.5,-0.3711409395973154,0.6953986854356535,0.0,0.12464990986299215,0.10914188671421693,False,True,True,False,False,0.4084786069739931,-0.12465064003709278,0.5,0.03
-0.5,-0.3496644295302013,0.694561986710518,0.0,0.12464990986299215,0.11436363399012545,False,True,True,False,False,0.4130373266384772,-0.12465064003709278,0.5,0.03
-0.5,-0.32818791946308723,0.6935976021646411,0.0,0.12464990986299215,0.1195684203762547,False,True,True,False,False,0.41751078196120106,-0.12465064003709278,0.5,0.03
-0.5,-0.30671140939597313,0.6925059765941209,0.0,0.12464990986299215,0.12475384530662853,False,True,True,False,False,0.4218969096827704,-0.12465064003709278,0.5,0.03
-0.5,-0.28523489932885904,0.691287613481512,0.0,0.12464990986299215,0.12991751714522307,False,True,True,False,False,0.42619368682126746,-0.12465064003709278,0.5,0.03
-0.5,-0.26375838926174494,0.6899430747636076,0.0,0.12464990986299215,0.13505705428904222,False,True,True,False,False,0.43039913160529697,-0.12465064003709278,0.5,0.03
-0.5,-0.24228187919463084,0.6884729805722611,0.0,0.12464990986299215,0.14017008626656557,False,True,True,False,False,0.4345113043880241,-0.12465064003709278,0.5,0.03
-0.5,-0.22080536912751675,0.6868780089483676,0.0,0.12464990986299215,0.14525425483106333,False,True,True,False,False,0.43852830854178304,-0.12465064003709278,0.5,0.03
-0.5,-0.19932885906040265,0.6851588955291359,0.0,0.12464990986299215,0.15030721504827227,False,True,True,False,False,0.4424482913328458,-0.12465064003709278,0.5,0.03
-0.5,-0.17785234899328856,0.6833164332087955,0.0,0.12464990986299215,0.15532663637793218,False,True,True,False,False,0.4462694447759445,-0.12465064003709278,0.5,0.03
-0.5,-0.15637583892617446,0.6813514717728966,0.0,0.12464990986299215,0.1603102037486837,False,True,True,False,False,0.4499900064681556,-0.12465064003709278,0.5,0.03
-0.5,-0.13489932885906036,0.6792649175063685,0.0,0.12464990986299215,0.16525561862583144,False,True,True,False,False,0.4536082604017603,-0.12465064003709278,0.5,0.03
-0.5,-0.11342281879194627,0.6770577327755215,0.0,0.12464990986299215,0.17016060007148018,False,True,True,False,False,0.4571225377557059,-0.12465064003709278,0.5,0.03
-0.5,-0.09194630872483217,0.674730935584181,0.0,0.12464990986299215,0.17502288579655498,False,True,True,False,False,0.4605312176653047,-0.12465064003709278,0.5,0.03
-0.5,-0.07046979865771807,0.672285599104161,0.0,0.12464990986299215,0.1798402332042202,False,True,True,False,False,0.4638327279698132,-0.12465064003709278,0.5,0.03
-0.5,-0.04899328859060398,0.6697228511802932,0.0,0.12464990986299215,0.1846104204242161,False,True,True,False,False,0.4670255459375485,-0.12465064003709278,0.5,0.03
-0.5,-0.027516778523489882,0.6670438738102388,0.0,0.12464990986299215,0.18933124733763568,False,True,True,False,False,0.470108198968207,-0.12465064003709278,0.5,0.03
-0.5,-0.006040268456375786,0.6642499025993247,0.0,0.12464990986299215,0.19400053659166952,False,True,True,False,False,0.4730792652720609,-0.12465064003709278,0.5,0.03
-0.5,0.01543624161073831,0.6613422261906541,0.0,0.12464990986299215,0.19861613460385028,False,True,True,False,False,0.47593737452572027,-0.12465064003709278,0.5,0.03
-0.5,0.03691275167785246,0.6583221856707548,0.0,0.12464990986299215,0.2031759125553337,False,True,True,False,False,0.4786812085041571,-0.12465064003709278,0.5,0.03
-0.5,0.0583892617449665,0.6551911739510398,0.0,0.12464990986299215,0.20767776737275884,False,True,True,False,False,0.4813095016887008,-0.12465064003709278,0.5,0.03
