ablation_id,description,height,episode,seed,survival_time_s,fell,max_pitch_deg,max_roll_deg,max_wheel_cmd,mean_saturation,max_pitch_early,max_roll_early
1_full,Full (all layers),0.7,0,42,0.14,True,47.80705190676341,6.064642357930681,10.914053359347303,0.3500000052154064,31.996198751843153,4.732278637196763
1_full,Full (all layers),0.7,1,43,0.18,True,46.31020228977678,1.4104641591286635,11.902465460952872,0.3200000047683716,30.332521764378956,0.8866774422478956
1_full,Full (all layers),0.65,0,42,0.14,True,47.805556095335184,6.064845556058489,10.910603097877067,0.3500000052154064,31.995095676292195,4.732326448520953
1_full,Full (all layers),0.65,1,43,0.18,True,46.319873837641516,1.4066290079097012,11.894179991835326,0.3200000047683716,30.333932198442564,0.8867506533380617
2_no_vmc,No VMC (Layer 2 off),0.7,0,42,0.18,True,49.73276910173515,3.7746037264041123,13.191258804351143,0.360000005364418,28.969922930623508,3.2063588813289083
2_no_vmc,No VMC (Layer 2 off),0.7,1,43,0.26,True,46.09865767080314,5.748036196030733,23.237635791858086,0.35714286246470045,22.724164019584776,1.403203134432411
2_no_vmc,No VMC (Layer 2 off),0.65,0,42,0.18,True,49.722165233048706,3.775325592022018,13.185919013147869,0.360000005364418,28.966777628510716,3.2070749839747017
2_no_vmc,No VMC (Layer 2 off),0.65,1,43,0.28,True,45.71368771861371,6.597281426862609,24.74805233789134,0.3866666744152705,22.71570653784501,1.3996013835839929
3_no_roll_yaw,No Roll/Yaw (Layer 4 off),0.7,0,42,0.12,True,45.91327267635066,6.513899331248739,9.149137121157754,0.1714285739830562,33.20069236669114,4.974934340952983
3_no_roll_yaw,No Roll/Yaw (Layer 4 off),0.7,1,43,0.14,True,45.69255169822711,1.763484727536594,20.51712291679328,0.15000000223517418,31.22758731925786,0.7487028718977308
3_no_roll_yaw,No Roll/Yaw (Layer 4 off),0.65,0,42,0.12,True,45.91123386488341,6.513856642566426,9.150434521879554,0.1714285739830562,33.199626857180625,4.97496806501201
3_no_roll_yaw,No Roll/Yaw (Layer 4 off),0.65,1,43,0.14,True,45.79631593209795,1.8370540824689763,20.768243664866905,0.15000000223517418,31.229329017496216,0.7487420387637526
4_ik_lqr_only,IK + LQR only,0.7,0,42,0.14,True,47.062977928771396,3.5330496040949684,13.789329994384763,0.20000000298023224,30.76425460672088,3.212432200161519
4_ik_lqr_only,IK + LQR only,0.7,1,43,0.74,True,46.08205689602543,6.891877731049013,40.2683609738241,0.32631579433616836,23.328266930915724,1.036461142868748
4_ik_lqr_only,IK + LQR only,0.65,0,42,0.14,True,47.04612443699439,3.534121303464426,13.77058467522722,0.20000000298023224,30.759961832827525,3.2125237673850795
4_ik_lqr_only,IK + LQR only,0.65,1,43,0.68,True,45.33541818200007,5.742425622514391,31.699900185993748,0.30857143316950114,23.33442605399978,1.0365062861502936
5_reduced_lqr,Reduced LQR gains (50%),0.7,0,42,0.14,True,48.01124382709553,6.024080852657737,5.602350694381348,0.3500000052154064,32.12178885520676,4.714841164245721
5_reduced_lqr,Reduced LQR gains (50%),0.7,1,43,0.18,True,46.20476807465388,1.3976160396913406,5.9451074964858375,0.3200000047683716,30.31516283860337,0.8855830111551068
5_reduced_lqr,Reduced LQR gains (50%),0.65,0,42,0.14,True,48.010475430813905,6.024169645116947,5.601507234262622,0.3500000052154064,32.12124927026233,4.7148548246240605
5_reduced_lqr,Reduced LQR gains (50%),0.65,1,43,0.18,True,46.210669358096766,1.399464032748652,5.946807840226468,0.3200000047683716,30.3158390273312,0.8856678015503502
6_no_filter,No wheel filtering,0.7,0,42,0.14,True,46.48694026474003,6.089851305496729,10.818087730060183,0.3500000052154064,31.378240801780834,4.7958621488408815
6_no_filter,No wheel filtering,0.7,1,43,0.18,True,46.60819319798068,1.3601412463147136,11.639725300396675,0.3200000047683716,30.415938864712324,0.8917497114802764
6_no_filter,No wheel filtering,0.65,0,42,0.14,True,46.481056056770065,6.091326199470629,10.816955298584922,0.3500000052154064,31.373326480673008,4.7956696228836515
6_no_filter,No wheel filtering,0.65,1,43,0.18,True,46.61464089655717,1.3589145870284616,11.634198615236592,0.3200000047683716,30.419186619662664,0.891985779893465
7_ik_only,IK only (no wheel control),0.7,0,42,0.14,True,47.39963795296132,3.555011863927733,0.0,0.20000000298023224,30.930351146957246,3.2160180494757755
7_ik_only,IK only (no wheel control),0.7,1,43,0.6,True,46.00942466439151,6.199431872332651,0.0,0.20000000298023224,23.368237197938637,1.0344788939055634
7_ik_only,IK only (no wheel control),0.65,0,42,0.14,True,47.39963795296132,3.555011863927733,0.0,0.20000000298023224,30.930351146957246,3.2160180494757755
7_ik_only,IK only (no wheel control),0.65,1,43,0.6,True,46.00942466439151,6.199431872332651,0.0,0.20000000298023224,23.368237197938637,1.0344788939055634
