row_index,nominal_source_step_index,low_1cm_source_step_index,nominal_time,low_1cm_time,nominal_initial_root_z_perturbation_m,low_1cm_initial_root_z_perturbation_m,nominal_nominal_equilibrium_com_z_m,low_1cm_nominal_equilibrium_com_z_m,nominal_initial_com_z_m_after_perturbation,low_1cm_initial_com_z_m_after_perturbation,nominal_perturbation_applied_after_equilibrium_capture,low_1cm_perturbation_applied_after_equilibrium_capture,nominal_com_z_m,low_1cm_com_z_m,nominal_left_wheel_contact,low_1cm_left_wheel_contact,nominal_right_wheel_contact,low_1cm_right_wheel_contact,nominal_left_wheel_floor_contact,low_1cm_left_wheel_floor_contact,nominal_right_wheel_floor_contact,low_1cm_right_wheel_floor_contact,nominal_contact_force_valid,low_1cm_contact_force_valid,nominal_contact_supervisor_state,low_1cm_contact_supervisor_state,nominal_contact_transition_event,low_1cm_contact_transition_event,nominal_contact_duration_s,low_1cm_contact_duration_s,nominal_left_contact_force_world_z,low_1cm_left_contact_force_world_z,nominal_right_contact_force_world_z,low_1cm_right_contact_force_world_z,nominal_total_wheel_floor_fz,low_1cm_total_wheel_floor_fz,nominal_non_wheel_floor_contacts,low_1cm_non_wheel_floor_contacts,nominal_support_position_error_m,low_1cm_support_position_error_m,nominal_pitch_x_rad,low_1cm_pitch_x_rad,nominal_roll_y_rad,low_1cm_roll_y_rad,nominal_yaw_z_rad,low_1cm_yaw_z_rad,nominal_hip_yaw_abs_max,low_1cm_hip_yaw_abs_max,nominal_joint_pos,low_1cm_joint_pos,nominal_wheel_vel_mean_rad_s,low_1cm_wheel_vel_mean_rad_s,nominal_wheel_vel_left_rad_s,low_1cm_wheel_vel_left_rad_s,nominal_wheel_vel_right_rad_s,low_1cm_wheel_vel_right_rad_s,nominal_tau_position,low_1cm_tau_position,nominal_tau_final_per_joint,low_1cm_tau_final_per_joint,nominal_tau_saturation_rate,low_1cm_tau_saturation_rate,nominal_wheel_torque_saturation_left,low_1cm_wheel_torque_saturation_left,nominal_wheel_torque_saturation_right,low_1cm_wheel_torque_saturation_right,nominal_wheel_torque_rate_saturation_left,low_1cm_wheel_torque_rate_saturation_left,nominal_wheel_torque_rate_saturation_right,low_1cm_wheel_torque_rate_saturation_right,nominal_tau_wbc_correction,low_1cm_tau_wbc_correction,nominal_hidden_torque_norm,low_1cm_hidden_torque_norm,nominal_ownership_violation_count,low_1cm_ownership_violation_count
10,10,10,0.1,0.1,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4049777090549469,0.3986429274082184,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,right_only_to_double_contact,0.0999999999999999,0.01,39.02059173583984,77.47859191894531,39.711063385009766,78.56104278564453,78.73165329846181,156.03963125994073,0,0,-0.0033614404828533,-0.0364228372217214,0.0023026569546312,-0.0881967101888782,0.0009376862004529,0.00019507511037,0.0029565388847615,-0.0003770259610591,0.0013054159935563,0.0059790764935314,"-0.0008,-0.0013,0.9409,1.7478,0.0720,-0.0011,-0.0004,0.9371,1.7466,0.0668","-0.0038,-0.0053,0.9407,1.7764,-1.3615,0.0021,0.0060,0.9349,1.7767,-1.3702",0.9546124935150146,-8.974456787109375,0.978917360305786,-8.483687400817871,0.9303076267242432,-9.46522617340088,0.1344576179981231,1.4569134712219238,"0.10939162969589233,0.05803817883133888,1.1253890991210938,-7.186822891235352,-0.05038176104426384,-0.09570388495922089,0.020989276468753815,0.9385862350463867,-7.248639106750488,-0.026076894253492355","-0.14772886037826538,0.06778848171234131,1.4289125204086304,-13.927141189575195,4.162238121032715,0.16518422961235046,-0.17099519073963165,1.4595820903778076,-13.939302444458008,4.653007507324219",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
11,11,11,0.11,0.11,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4051919877529144,0.3971563875675201,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.1099999999999999,0.02,39.0373649597168,59.97027206420898,39.73458099365234,62.28907775878906,78.7719471724139,122.25934977137098,0,0,-0.0038111261838646,-0.0329690843188095,0.0024250336593042,-0.0851186186391101,0.001020070127538,9.03746819515902e-05,0.0032850810998761,-0.0011037340505958,0.0014306404627859,0.0062185111455619,"-0.0008,-0.0014,0.9421,1.7468,0.0815,-0.0013,-0.0004,0.9379,1.7455,0.0758","-0.0026,-0.0054,0.9416,1.7844,-1.4175,0.0007,0.0062,0.9354,1.7848,-1.4330",0.9113245904445648,-3.945134401321411,0.9352760910987854,-3.704972267150879,0.8873730897903442,-4.185296535491943,0.1524450480937957,1.3187633752822876,"0.10630165040493011,0.058449238538742065,1.1018967628479004,-7.164731025695801,-0.02638198435306549,-0.09227274358272552,0.020961450412869453,0.9214450120925903,-7.229445934295654,-0.0024304836988449097","-0.014867410063743591,0.11453010141849518,1.1193876266479492,-12.015918731689453,0.16223812103271484,0.025655239820480347,-0.15148195624351501,0.9274663925170898,-12.206684112548828,0.6530075073242188",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
12,12,12,0.12,0.12,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4053969979286194,0.3964816331863403,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.1199999999999999,0.03,38.95343399047852,49.932159423828125,39.654518127441406,51.00225067138672,78.60795124272434,100.93440778491816,0,0,-0.0042440898112413,-0.0311218624337385,0.0025207562349423,-0.0835300576618953,0.0010952501327125,0.0001228147272083,0.0036094806243646,-0.0017532370413543,0.0015508126234635,0.006293564569205,"-0.0008,-0.0016,0.9433,1.7458,0.0908,-0.0016,-0.0005,0.9387,1.7444,0.0846","-0.0023,-0.0056,0.9415,1.7881,-1.4514,0.0003,0.0063,0.9354,1.7884,-1.4689",0.8934073746204376,-3.1798641681671143,0.9170443415641784,-3.1662166118621826,0.8697704076766968,-3.193511724472046,0.1697635948657989,1.2448744773864746,"0.10377722233533859,0.058652423322200775,1.0832300186157227,-7.142225742340088,-0.052923765033483505,-0.08944245427846909,0.020304221659898758,0.9091784954071045,-7.2097697257995605,-0.02928679808974266","0.11705099046230316,0.1491384208202362,1.8818703889846802,-10.496188163757324,-1.1906336545944214,-0.10886630415916443,-0.09754738211631775,1.5161206722259521,-10.568775177001953,-1.1769862174987793",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
13,13,13,0.13,0.13,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4055922925472259,0.3962522745132446,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.1299999999999999,0.04,38.91283416748047,50.0762939453125,39.61433792114258,50.90665054321289,78.52717277926874,100.98294487377449,0,0,-0.0046633123438974,-0.0293138741315502,0.0025748147012967,-0.0812902217622339,0.0011636877440747,0.000251078134412,0.003929796160092,-0.0022265574849582,0.0016650832258164,0.00626189308241,"-0.0008,-0.0017,0.9443,1.7448,0.0997,-0.0018,-0.0005,0.9394,1.7434,0.0930","-0.0020,-0.0058,0.9409,1.7895,-1.4879,-0.0002,0.0063,0.9349,1.7896,-1.5061",0.8506892919540405,-4.0056174993515015,0.8739957809448242,-3.9657161235809326,0.8273828029632568,-4.04551887512207,0.1865324974060058,1.1725549697875977,"0.10120084881782532,0.058563098311424255,1.0766630172729492,-7.126242637634277,-0.06918016076087952,-0.08658059686422348,0.019391974434256554,0.9091452360153198,-7.1961140632629395,-0.04587366804480553","0.1404830366373062,0.15324226021766663,1.846384048461914,-9.845870971679688,0.5903136730194092,-0.13105900585651398,-0.07970355451107025,1.5653289556503296,-9.889484405517578,0.6302151679992676",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
14,14,14,0.14,0.14,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4057762026786804,0.3962941765785217,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.1399999999999999,0.05,38.93768310546875,46.95325469970703,39.63558578491211,47.64958572387695,78.57326706570564,94.60284082986244,0,0,-0.0050588062599856,-0.0273749983112223,0.0025999265663298,-0.0779684130467154,0.0012259888353202,0.0004034473900798,0.0042459165945694,-0.0025342106679915,0.0017734771827235,0.0062211989425122,"-0.0008,-0.0018,0.9454,1.7439,0.1081,-0.0021,-0.0005,0.9401,1.7424,0.1010","-0.0015,-0.0060,0.9412,1.7895,-1.5217,-0.0008,0.0062,0.9352,1.7894,-1.5407",0.7951643764972687,-3.050443530082702,0.8181291222572327,-3.005932569503784,0.7721996307373047,-3.094954490661621,0.2023522555828094,1.09499990940094,"0.09880667179822922,0.058383069932460785,1.0669889450073242,-7.116631984710693,-0.0669192522764206,-0.083918496966362,0.018248122185468674,0.9060598015785217,-7.188453674316406,-0.0439545102417469","0.13832814991474152,0.14847128093242645,1.2455824613571167,-9.102314949035645,0.6139874458312988,-0.12888377904891968,-0.08240748196840286,1.0101045370101929,-9.14399528503418,0.6584984064102173",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
15,15,15,0.15,0.15,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4059483408927917,0.3965770006179809,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.15,0.06,38.95721054077149,42.423789978027344,39.64713668823242,42.99151992797852,78.60434345005378,85.41531014723968,0,0,-0.0054273875726257,-0.0258394748564639,0.002604294206445,-0.0747332679361868,0.0012829961453704,0.0005586133074594,0.0045578018219743,-0.0027126227954115,0.0018758318619802,0.0061887768097221,"-0.0008,-0.0019,0.9463,1.7430,0.1160,-0.0023,-0.0006,0.9408,1.7415,0.1084","-0.0011,-0.0062,0.9421,1.7882,-1.5466,-0.0013,0.0062,0.9360,1.7879,-1.5665",0.7450849115848541,-2.189043641090393,0.7676936388015747,-2.1465718746185303,0.7224761843681335,-2.231515407562256,0.2170955091714859,1.0335789918899536,"0.0970211774110794,0.058098211884498596,1.054552674293518,-7.108749866485596,-0.07132566720247269,-0.08188103884458542,0.0168783999979496,0.9003432393074036,-7.181978225708008,-0.048716943711042404","0.14059582352638245,0.14123913645744324,1.1759847402572632,-8.44421100616455,-0.2843073606491089,-0.13150307536125183,-0.08459906280040741,0.9726424217224121,-8.484429359436035,-0.2418355941772461",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
16,16,16,0.16,0.16,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4061091840267181,0.3970085680484772,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.16,0.07,38.971099853515625,41.02241134643555,39.64887619018555,41.46479797363281,78.61997699008771,82.48720630110212,0,0,-0.0057701096530619,-0.0245323175511893,0.0025867695883623,-0.0717693900435653,0.0013356476319175,0.0007132839190244,0.0048652983452505,-0.0027855623299629,0.0019721523858606,0.0063047329895198,"-0.0008,-0.0020,0.9473,1.7422,0.1233,-0.0025,-0.0006,0.9414,1.7406,0.1153","-0.0007,-0.0063,0.9429,1.7861,-1.5686,-0.0018,0.0062,0.9366,1.7856,-1.5893",0.6933224499225616,-2.273834228515625,0.7155529856681824,-2.236029148101806,0.6710919141769409,-2.311639308929444,0.2308043837547302,0.981292724609375,"0.09581255167722702,0.0577559620141983,1.0447754859924316,-7.102222442626953,-0.08022832870483398,-0.08042984455823898,0.015463600866496563,0.8973916172981262,-7.17622184753418,-0.05799778923392296","0.13765405118465424,0.13350018858909607,1.2762585878372192,-8.116888046264648,-0.27989721298217773,-0.1290135681629181,-0.08583352714776993,1.1010154485702515,-8.150087356567383,-0.24209213256835938",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
17,17,17,0.17,0.17,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4062591195106506,0.3975017666816711,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.17,0.08,38.99977111816406,40.69893646240234,39.66231155395508,41.03426361083984,78.6620872539008,81.73319718227587,0,0,-0.0060851518032373,-0.0231719082319541,0.002549904437047,-0.068695699798518,0.0013848694550756,0.0008655189617707,0.0051681127392132,-0.0027711059445958,0.0020626559853553,0.0064181429333984,"-0.0008,-0.0021,0.9482,1.7414,0.1301,-0.0028,-0.0006,0.9420,1.7398,0.1217","-0.0002,-0.0064,0.9437,1.7837,-1.5915,-0.0024,0.0061,0.9371,1.7830,-1.6128",0.6356196701526642,-2.351597547531128,0.6574535369873047,-2.3185627460479736,0.6137858033180237,-2.3846323490142822,0.2434060722589492,0.9268763065338136,"0.09506281465291977,0.05741953104734421,1.0361979007720947,-7.097855567932129,-0.08494117856025696,-0.07944420725107193,0.014140434563159943,0.8956596851348877,-7.172042369842529,-0.06310731172561646","0.1337203085422516,0.1274171620607376,1.1830921173095703,-7.917888164520264,-0.05648340284824371,-0.12550939619541168,-0.08852311968803406,1.032428503036499,-7.94490385055542,-0.023448601365089417",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
18,18,18,0.18,0.18,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4063984453678131,0.3980289995670318,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.18,0.09,39.0344123840332,39.80054473876953,39.68133163452149,40.036434173583984,78.71574449392726,79.83697914669338,0,0,-0.0063701814859616,-0.0217958659132218,0.0024987973601285,-0.0655674187442629,0.0014314746202832,0.0010146069167856,0.0054658605463282,-0.0026831197335198,0.0021478522103279,0.0065090935677289,"-0.0007,-0.0021,0.9490,1.7407,0.1363,-0.0030,-0.0006,0.9425,1.7391,0.1274","0.0003,-0.0065,0.9446,1.7811,-1.6139,-0.0029,0.0061,0.9378,1.7802,-1.6359",0.5762814879417419,-2.2230217456817627,0.5977150797843933,-2.194199800491333,0.5548478960990906,-2.2518436908721924,0.2548072636127472,0.8718346357345581,"0.09474048018455505,0.05719242990016937,1.027084231376648,-7.094790935516357,-0.08835230022668839,-0.0788908451795578,0.01296920608729124,0.893314003944397,-7.168749809265137,-0.06691870838403702","0.13323384523391724,0.12248728424310684,1.0887802839279175,-7.725351333618164,-0.1743672639131546,-0.12538062036037445,-0.09165012091398239,0.9601737260818481,-7.747493743896484,-0.14554531872272491",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
19,19,19,0.19,0.19,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4065277278423309,0.398575484752655,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.19,0.0999999999999999,39.06675720214844,39.15208053588867,39.6928596496582,39.29166412353516,78.75962146255979,78.44374254189597,0,0,-0.0066243786426997,-0.0204458785516365,0.0024364249494162,-0.062544254983201,0.0014761238250706,0.0011605463361593,0.005758278379704,-0.0025333442362142,0.0022284635342657,0.0065796193666756,"-0.0007,-0.0022,0.9498,1.7400,0.1419,-0.0033,-0.0006,0.9430,1.7384,0.1326","0.0008,-0.0066,0.9456,1.7784,-1.6359,-0.0035,0.0061,0.9385,1.7774,-1.6584",0.5164320021867752,-2.2329468727111816,0.5375068783760071,-2.207979679107666,0.4953571259975433,-2.2579140663146973,0.2649751603603363,0.8178351521492004,"0.0947873592376709,0.05712782219052315,1.0183240175247192,-7.0922770500183105,-0.09324291348457336,-0.07874719798564911,0.011954905465245247,0.8911505937576294,-7.165815830230713,-0.07216803729534149","0.13347359001636505,0.11765744537115097,1.0827467441558838,-7.589310646057129,-0.2834553122520447,-0.12591761350631714,-0.09422744810581207,0.9746897220611572,-7.605705261230469,-0.25848811864852905",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
20,20,20,0.2,0.2,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4066476821899414,0.3991198241710663,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.2,0.1099999999999999,39.11146926879883,39.03232192993164,39.57625198364258,39.08295440673828,78.68771984470354,78.11527690912877,0,0,-0.0068471081097522,-0.0190626135955477,0.0023649913782188,-0.0595912967806222,0.0015193548215059,0.0013029903932966,0.0060466178972921,-0.0023323386617389,0.0023051933385431,0.0066315103322267,"-0.0007,-0.0023,0.9506,1.7394,0.1469,-0.0035,-0.0006,0.9435,1.7378,0.1372","0.0012,-0.0066,0.9465,1.7757,-1.6588,-0.0040,0.0062,0.9390,1.7745,-1.6817",0.4545659720897674,-2.356847167015076,0.4753002226352691,-2.3353404998779297,0.4338317215442657,-2.3783538341522217,0.2738843262195587,0.762504518032074,"0.09509249776601791,0.05719757825136185,1.0101670026779175,-7.0903778076171875,-0.09793589264154434,-0.07900771498680115,0.011010563001036644,0.8899972438812256,-7.1632304191589355,-0.07720164209604263","0.13300487399101257,0.11298386007547379,1.0716499090194702,-7.512571811676025,-0.2521500885486603,-0.12569642066955566,-0.09661462157964706,0.982679545879364,-7.522762775421143,-0.23064342141151428",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
21,21,21,0.21,0.21,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4067588448524475,0.3996492326259613,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.21,0.1199999999999999,39.149513244628906,38.96479034423828,39.698204040527344,38.93391036987305,78.8477175217488,77.89870237945425,0,0,-0.0070371675974734,-0.0176169650537223,0.0022878571824474,-0.0566639402760511,0.0015618887688787,0.0014415373266468,0.0063343885489596,-0.0020893187118769,0.0023790455888956,0.0066668195649981,"-0.0006,-0.0024,0.9513,1.7388,0.1513,-0.0037,-0.0006,0.9440,1.7372,0.1412","0.0017,-0.0067,0.9475,1.7731,-1.6827,-0.0045,0.0062,0.9396,1.7717,-1.7061",0.3909472227096557,-2.450727105140686,0.4112806022167206,-2.432189702987671,0.3706138432025909,-2.469264507293701,0.2814866900444031,0.7046785950660706,"0.09705549478530884,0.05804013833403587,1.000798225402832,-7.089620590209961,-0.1007343977689743,-0.08144477009773254,0.006447871681302786,0.8909556865692139,-7.156094074249268,-0.08040101826190948","0.13291481137275696,0.10873337090015411,1.037351131439209,-7.453885078430176,-0.24000881612300873,-0.12580253183841705,-0.09908133745193481,0.9659153819084167,-7.458277702331543,-0.2214714139699936",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
22,22,22,0.22,0.22,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4068615138530731,0.4001600742340088,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.22,0.1299999999999999,39.18926239013672,38.856964111328125,39.70923614501953,38.74941635131836,78.89850042026958,77.60638096967928,0,0,-0.0071942764257129,-0.0161196783975107,0.0022082663691861,-0.0537855510456292,0.0016069671874094,0.0015760657571094,0.0066315846111105,-0.0018122578048927,0.0024554813280701,0.0066871978342533,"-0.0005,-0.0025,0.9520,1.7383,0.1550,-0.0040,-0.0006,0.9444,1.7366,0.1445","0.0022,-0.0067,0.9484,1.7706,-1.7076,-0.0050,0.0062,0.9402,1.7690,-1.7313",0.3271877467632293,-2.5365837812423706,0.3469052612781524,-2.520604372024536,0.3074702322483063,-2.552563190460205,0.2877710461616516,0.6447871327400208,"0.09955023974180222,0.059897664934396744,0.9906256198883057,-7.089282035827637,-0.10520756244659424,-0.0845738872885704,0.00533636286854744,0.8903412818908691,-7.158246994018555,-0.08549004793167114","0.13339412212371826,0.10474148392677307,1.0155380964279175,-7.404722213745117,-0.2682012617588043,-0.12643152475357056,-0.10140480101108551,0.960301399230957,-7.403414726257324,-0.25222185254096985",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
23,23,23,0.23,0.23,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4069566130638122,0.4006492793560028,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.23,0.1399999999999999,39.40109252929688,38.84674072265625,39.70867919921875,38.6670150756836,79.1097697347594,77.5137546717875,0,0,-0.0073172479420732,-0.0145684574765858,0.002127009843487,-0.0509662960386905,0.0016510815110824,0.0017065319457263,0.0069382166916878,-0.0015082019579314,0.0025301303248852,0.006693803705275,"-0.0005,-0.0025,0.9527,1.7378,0.1581,-0.0042,-0.0006,0.9448,1.7361,0.1472","0.0026,-0.0067,0.9493,1.7682,-1.7335,-0.0055,0.0062,0.9407,1.7665,-1.7575",0.2617057487368583,-2.653063535690308,0.2804504930973053,-2.639320135116577,0.2429610043764114,-2.666806936264038,0.2926899194717407,0.5827382802963257,"0.09862641990184784,0.059796616435050964,0.9823758602142334,-7.087702751159668,-0.10998285561800003,-0.08401119709014893,0.004229839891195297,0.8920513987541199,-7.157373428344727,-0.0912381112575531","0.1338948756456375,0.10082289576530457,1.0044587850570679,-7.371219635009766,-0.27607694268226624,-0.1270444542169571,-0.10346385091543198,0.9642518162727356,-7.364042282104492,-0.26233354210853577",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
24,24,24,0.24,0.24,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4070445895195007,0.4011141359806061,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.24,0.15,39.285911560058594,38.903839111328125,39.71856689453125,38.656681060791016,79.0044775543997,77.56051966262169,0,0,-0.0074046197789679,-0.012952846817092,0.0020484904753536,-0.0481914343232885,0.0016916867123837,0.0018328558726686,0.007255254715606,-0.0011833781964371,0.0026013390161097,0.0066876374185085,"-0.0004,-0.0026,0.9534,1.7373,0.1605,-0.0044,-0.0006,0.9451,1.7356,0.1492","0.0031,-0.0067,0.9501,1.7660,-1.7607,-0.0060,0.0063,0.9411,1.7640,-1.7849",0.1940399929881096,-2.777497410774231,0.2118986248970031,-2.765687704086304,0.176181361079216,-2.789307117462158,0.296184778213501,0.5181138515472412,"0.0956505760550499,0.05929773300886154,0.9734891653060913,-7.086447238922119,-0.11147258430719376,-0.0815972089767456,0.0016716723330318928,0.8936712741851807,-7.1570844650268555,-0.09361395239830017","0.13436943292617798,0.09699714928865433,0.9901711940765381,-7.347964286804199,-0.2689577341079712,-0.1275985985994339,-0.1053360104560852,0.9638583064079285,-7.334909439086914,-0.25714802742004395",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
25,25,25,0.25,0.25,0.0,-0.01,0.4041118323802948,0.4041118323802948,0.4041118323802948,0.3941118419170379,False,True,0.4071258306503296,0.401554137468338,True,True,True,True,True,True,True,True,True,True,double_contact,double_contact,none,none,0.25,0.16,39.29769515991211,38.95698928833008,39.721588134765625,38.64654922485352,79.0192839650446,77.60353687636983,0,0,-0.0074550017793602,-0.0112716270812247,0.0019770955317149,-0.0454544819396336,0.0017267017409601,0.0019550035933979,0.0075956906158723,-0.0008432220373636,0.002670768648386,0.0066696442663669,"-0.0002,-0.0027,0.9540,1.7369,0.1622,-0.0046,-0.0006,0.9454,1.7352,0.1506","0.0036,-0.0067,0.9509,1.7638,-1.7890,-0.0065,0.0063,0.9416,1.7617,-1.8135",0.1277193613350391,-2.8949153423309326,0.1449746191501617,-2.884760618209839,0.1104641035199165,-2.9050700664520264,0.2982000708580017,0.450865089893341,"0.09021879732608795,0.059186674654483795,0.9629437923431396,-7.083077430725098,-0.11318794637918472,-0.07773666828870773,-0.003040897659957409,0.896353006362915,-7.157014846801758,-0.09593268483877182","0.13496676087379456,0.09328269213438034,0.9751745462417603,-7.328623294830322,-0.26931172609329224,-0.12824605405330658,-0.10704924166202545,0.9616891741752625,-7.309762954711914,-0.2591570019721985",0.0,0.0,False,False,False,False,False,False,False,False,"0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000","0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000",0.0,0.0,0,0
