candidate,percent_position_saturated,first_saturation_step,tau_position_max,max_position_tau_cap
baseline,64.35643564356435,6,9.718735924430971,3.0
E1_k60,75.24752475247524,5,13.297762023950854,3.0
E2_k80,87.12871287128714,4,16.75296760222289,3.0
E3_k100,91.08910891089108,4,20.30525858445449,3.0
